!,,,,,+++,,,,,+++,,,,,
@@,artwork_id,title,subtitle,title_lang,creator,art_form,first_performance_date,first_performance_place,neibu,commentary,note,created,created_by,last_modified,last_modified_by
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0545,Beiguo jiangnan,,zh-Latn-pinyin,P0432,AF02,1963,SP0006,no,,,2018-06-01,DM,2020-04-08,DP
:,W0639,Vltava,,cs,P0445,AF05,1882,SP0068,,,,2019-08-21,MG,2020-04-08,DP
:,W0639,The Moldau,,en,P0445,AF05,1882,SP0068,,,,2019-08-21,MG,2020-04-08,DP
:,W0639,伏尔塔瓦河,,zh,P0445,AF05,1882,SP0068,,,,2019-08-21,MG,2020-04-08,DP
,W0546,Lenin in October,,en,P0382,AF02,,SP0436,no,,,2018-05-30,MG,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0638,外国名歌二百首,,zh,P0999,AF05,unknown,SP0436,,,,2019-02-25,WH,2020-04-08,DP
+++,AW00182,La Fille aux Fleurs,,fr,P1017,AF02,1972,PL0999,,,,2019-08-03,MG,2019-10-14,MG
+++,AW00182,꽃파는처녀,,ko,P1017,AF02,1972,PL0999,,,,2019-08-03,MG,2019-10-14,MG
+++,AW00182,卖花姑娘,,zh,P1017,AF02,1972,PL0999,,,,2019-08-03,MG,2019-10-14,MG
+++,AW00183,The Last Supper,,en,P0660,AF01,1490~,PL0403,,,,2020-02-01,MG,2020-02-01,MG
+++,AW00183,L‘Ultima Cena,,it,P0660,AF01,1490~,PL0403,,,,2020-02-01,MG,2020-02-01,MG
+++,AW00183,最后的晚餐,,zh,P0660,AF01,1490~,PL0403,,,,2020-02-01,MG,2020-02-01,MG
+++,AW00184,Lady Windermere’s Fan,,en,P1048,AF03,1892,PL0036,,,,2020-02-11,MG,2020-02-11,MG
+++,AW00184,少奶奶的扇子,,zh,P1048,AF03,1892,PL0036,,,,2020-02-11,MG,2020-02-11,MG
+++,AW00185,Hamlet,,en,P0339,AF03,1609,PL0036,,,,2020-02-14,MG,2020-02-14,MG
+++,AW00185,哈姆莱特,,zh,P0339,AF03,1609,PL0036,,,,2020-02-14,MG,2020-02-14,MG
:,W0555,Auld Lang Syne,,en,P0655,AF05,unknown,SP0436,,the poem was written in 1788,,2018-11-06,MG,2020-04-08,DP
:,W0555,友谊地久天长,,zh,P0655,AF05,unknown,SP0436,,the poem was written in 1788,,2018-11-06,MG,2020-04-08,DP
:,W0556,Les Chaises,,fr,P0262,AF03,1952,SP0050,yes,,,2018-11-07,MG,2020-04-08,DP
:,W0556,椅子,,zh,P0262,AF03,1952,SP0050,yes,,,2018-11-07,MG,2020-04-08,DP
:,W0620,Mona Lisa,,en,P0660,AF01,1503,SP0436,no,,,2018-11-14,MG,2020-04-08,DP
:,W0620,蒙娜丽萨,,zh,P0660,AF01,1503,SP0436,no,,,2018-11-14,MG,2020-04-08,DP
:,W0621,The Moon Represents my Heart,,en,P0664,AF05,1977,SP0436,no,,,2018-11-18,MG,2020-04-08,DP
:,W0621,月亮代表我的心,,zh,P0664,AF05,1977,SP0436,no,,,2018-11-18,MG,2020-04-08,DP
:,W0622,空山鸟语,,zh,P0683,AF05,unknown,SP0436,,,,2018-12-12,MG,2020-04-08,DP
:,W0623,毛主席去安源,,zh,P0681,AF01,unknown,SP0436,,,,2018-12-12,MG,2020-04-08,DP
:,W0624,决裂,,zh,P0678,AF02,1975,SP0005,no,,,2018-12-12,MG,2020-04-08,DP
:,W0625,Tormented by Grievous Bondage,,en,P0697,AF05,18xx,SP0436,no,,,2018-12-30,MG,2020-04-08,DP
:,W0625,光荣牺牲,,zh,P0697,AF05,18xx,SP0436,no,,,2018-12-30,MG,2020-04-08,DP
:,W0626,Tunnel War,,en,P0699,AF02,1965,SP0005,no,,,2019-01-02,MG,2020-04-08,DP
:,W0626,地道战,,zh,P0699,AF02,1965,SP0005,no,,,2019-01-02,MG,2020-04-08,DP
:,W0630,The Peach Blossom Fan,,en,P0804,AF03,1699~,SP0436,,,,2019-02-18,MG,2020-04-08,DP
:,W0630,桃花扇,,zh,P0804,AF03,1699~,SP0436,,,,2019-02-18,MG,2020-04-08,DP
:,W0554,unknown,,en,P0999,AF99,unknown,SP0436,,,,2018-06-21,WH,2020-04-08,DP
+++,AW00210,Buddhas of Bamiyan,,en,P0999,AF08,0544..0595~,PL0664,,,,2021-06-14,MG,2021-06-14,MG
+++,AW00211,National Stadium,,en,I0133,AF10,2008,PL0002,,Bird’s Nest,,2021-07-10,MG,2021-07-10,MG
+++,AW00211,国家体育场,,zh,I0133,AF10,2008,PL0002,,鸟巢,,2021-07-10,MG,2021-07-10,MG
+++,AW00212,Beijing National Aquatics Center,,en,I0132,AF10,2008,PL0002,,Water Cube,,2021-07-10,MG,2021-07-10,MG
+++,AW00212,北京国家游泳中心,,zh,I0132,AF10,2008,PL0002,,水立方,,2021-07-10,MG,2021-07-10,MG
+++,AW00213,CCTV Headquarters,,en,I0134,AF10,2008,PL0002,,,,2021-07-10,MG,2021-07-10,MG
+++,AW00213,中央广播电视总台光华路办公区,,zh,I0134,AF10,2008,PL0002,,,,2021-07-10,MG,2021-07-10,MG
+++,AW00214,National Theater,,en,P1240,AF10,2007,PL0002,,,,2021-07-10,MG,2021-07-10,MG
+++,AW00214,国家大剧院,,zh,P1240,AF10,2007,PL0002,,,,2021-07-10,MG,2021-07-10,MG
+++,AW00215,Webb,,en,I0135,AF99,2021,PL0999,,,,2021-07-10,MG,2021-07-10,MG
+++,AW00216,Hubble,,en,I0135,AF99,1990,PL0999,,,,2021-07-10,MG,2021-07-10,MG
+++,AW00217,A Clockwork Orange,,en,P1274,AF02,1971,PL0050,,,,2021-07-21,MG,2021-07-21,MG
+++,AW00217,發條橘子,,zh,P1274,AF02,1971,PL0050,,,,2021-07-21,MG,2021-07-21,MG
+++,AW00218,Groundhog Day,,en,P1271,AF02,1993,PL0999,,,,2021-07-21,MG,2021-07-21,MG
+++,AW00218,土拨鼠之日,,zh,P1271,AF02,1993,PL0999,,,,2021-07-21,MG,2021-07-21,MG
+++,AW00219,Five Minerals Powder,,en,P0999,AF99,,PL0001,,,,2021-07-21,MG,2021-07-21,MG
+++,AW00219,五行散,,zh,P0999,AF99,,PL0001,,,,2021-07-21,MG,2021-07-21,MG
