!,,,,,,,,,,,,,,+++,,,,,
@@,prim_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,note,created,created_by,last_modified,last_modified_by
:,W0393,Li Sao,,en,G13,SP0006,1954,Shanghai wenyi lianhe chubanshe,19XX,,,,,,,2019-03-09,MG,2020-04-08,DP
:,W0393,离骚,,zh,G13,SP0006,1954,Shanghai wenyi lianhe chubanshe,19XX,,,,,,,2019-03-08,MG,2020-04-08,DP
:,W0394,三峡,,zh,G23,SP0436,19XX,unknown,19XX,,,,,,,2018-12-15,MG,2020-04-08,DP
:,W0396,毛泽东的青年时代,,zh,G02,SP0005,1950,Renmin chubanshe,1948,,,,,,,2018-12-15,MG,2020-04-08,DP
:,W0398,Сказание о директоре Прончатове,,ru,G04,SP0006,1973,Shanghai renmin chubanshe,19XX,yes,,,,,,2019-05-02,WH,2020-04-08,DP
:,W0398,Pulongqiatuofu jingli de gushi,,zh-Latn-pinyin,G04,SP0006,1973,Shanghai renmin chubanshe,19XX,yes,,,,,,2019-05-02,WH,2020-04-08,DP
:,W0398,普隆恰托夫经理的故事,,zh,G04,SP0006,1973,Shanghai renmin chubanshe,19XX,yes,,,,,,2018-12-15,MG,2020-04-08,DP
,W0406,Chinese Historical Anthology,,en,G36,SP0006,1962,Shanghai guji chubanshe,19XX,,,,,,,2019-02-23,WH,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0413,第三道,,zh,G24,SP0005,1982,Renmin chubanshe,19XX,no,,,,,,2019-03-08,LH,2020-04-08,DP
+++,PS00708,The Little Mermaid,,en,G08,,,,1917,,,,,,,2019-03-12,LH,2019-03-12,LH
,W0415,少年英雄巴甫里克,,zh,G99,SP0436,19XX,,19XX,,,,,,,2019-06-04,WH,2020-04-08,DP
+++,PS00708,海的女儿,,zh,G08,,,,1917,,,,,,,2019-03-12,LH,2019-03-12,LH
,W0415,Shaonian yingxiong Bafulike,,zh-Latn-pinyin,G99,SP0436,19XX,,19XX,,,,,,,2019-06-04,WH,2020-04-08,DP
,W0416,Pushkin poetry,,en,G59,SP0436,19XX,,19XX,,,,,,,2019-06-06,WH,2020-04-08,DP
+++,PS00709,The Little Match Girl,,en,G08,,,,1919,,,,,,,2019-03-12,LH,2019-03-12,LH
,W0416,普希金诗钞,,zh,G59,SP0436,19XX,,19XX,,,,,,,2019-06-06,WH,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0417,On Richard Nixon,,en,G44,SP0006,1972,Shanghai renmin chubanshe,19XX,yes,,,,,,2019-06-16,WH,2020-04-08,DP
+++,PS00710,The Ugly Duckling,,en,G08,,,,1925?,,,,,,,2019-03-12,LH,2019-03-12,LH
,W0417,尼克松其人其事,,zh,G44,SP0006,1972,Shanghai renmin chubanshe,19XX,yes,,,,,,2019-06-16,WH,2020-04-08,DP
,W0417,Nikesong qi ren qi shi,,zh-Latn-pinyin,G44,SP0006,1972,Shanghai renmin chubanshe,19XX,yes,,,,,,2019-06-16,WH,2020-04-08,DP
+++,PS00710,丑小鸭,,zh-Latn-pinyin,G08,,,,1925?,,,,,,,2019-03-12,LH,2019-03-12,LH
+++,PS00800,The Plum in The Golden Vase,,en,G04,PL0999,1961?,Dayuan shudian,,,,,,,PLS check again.,2019-09-12,MG,2019-09-12,MG
+++,PS00800,金瓶梅,,zh,G04,PL0999,1961?,Dayuan shudian,,,,,,,PLS check again.,2019-08-03,MG,2019-09-12,MG
+++,PS00800,Jin Ping Mei,,zh-Latn-pinyin,G04,PL0999,1961?,Dayuan shudian,,,,,,,PLS check again.,2019-08-03,MG,2019-09-12,MG
+++,PS00801,Die Worte der Fünf Weisen,,de,G99,PL0999,unknown,unknown,,,,,,,PLS check again. I couldn‘t find the Chinese title.,2019-09-12,MG,2019-09-12,MG
+++,PS00801,Les Paroles des Cinq Vieillards,,fr,G99,PL0999,unknown,unknown,,,,,,,PLS check again. I couldn‘t find the Chinese title.,2019-08-03,MG,2019-09-12,MG
+++,PS00802,Don Quixote,,en,G04,PL0002,1958,Renmin meishu chubanshe,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00802,Don Quijote de la Mancha,,ep,G04,PL0002,1958,Renmin meishu chubanshe,,,,,,,,2019-08-03,MG,2019-08-03,MG
+++,PS00802,堂吉诃德,,zh,G04,PL0002,1958,Renmin meishu chubanshe,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00803,Ursule Mirouët,,fr,G21,PL0002,1956,Renmin wenxue chubanshe,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00803,于絮尔 弥罗埃,,zh,G21,PL0002,1956,Renmin wenxue chubanshe,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00804,Father Goriot,,en,G21,PL0003,1951,Pingming chuban she,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00804,Le Père Goriot,,fr,G21,PL0003,1951,Pingming chuban she,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00804,高老頭,,zh,G21,PL0003,1951,Pingming chuban she,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00805,Lost Illusions,,en,G21,PL0003,1951,Kaiming shudian,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00805,Illusions Perdues,,fr,G21,PL0003,1951,Kaiming shudian,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00805,幻灭,,zh,G21,PL0003,1951,Kaiming shudian,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00806,Cousin Pons,,fr,G21,PL0003,1952,Pingming chuban she,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00806,邦斯舅舅,,zh,G21,PL0003,1952,Pingming chuban she,,,,,,,,2019-09-12,MG,2019-09-12,MG
