!,,,,,+++,,,,,,,,,,+++,+++,,,,,
@@,prim_source_id,title,subtitle,title_lang,author,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
:,W0389,Fortress Besieged,,en,P0810,G04,SP0005,1980,Renmin wenxue chubanshe,1947,no,,,,,,Seems that the book was not published from 1949 – 1980,2019-03-08,MG,2020-04-08,DP
:,W0389,围城,,zh,P0810,G04,SP0005,1980,Renmin wenxue chubanshe,1947,no,,,,,,Seems that the book was not published from 1949 – 1980,2019-03-08,MG,2020-04-08,DP
:,W0391,Tracks in The Snowy Forest,,en,P0812,G04,SP0005,1957,Zuojia chubanshe,19XX,no,,,,,,,2019-03-09,MG,2020-04-08,DP
:,W0391,林海雪原,,zh,P0812,G04,SP0005,1957,Zuojia chubanshe,19XX,no,,,,,,,2019-03-08,MG,2020-04-08,DP
:,W0393,Li Sao,,en,P0813,G13,SP0006,1954,Shanghai wenyi lianhe chubanshe,19XX,,,,,,,,2019-03-09,MG,2020-04-08,DP
:,W0393,离骚,,zh,P0813,G13,SP0006,1954,Shanghai wenyi lianhe chubanshe,19XX,,,,,,,,2019-03-08,MG,2020-04-08,DP
:,W0394,三峡,,zh,P0275,G23,SP0436,19XX,unknown,19XX,,,,,,,,2018-12-15,MG,2020-04-08,DP
:,W0396,毛泽东的青年时代,,zh,P0675,G02,SP0005,1950,Renmin chubanshe,1948,,,,,,The word ‘Tongzhi’ was added to the work name after ‘Mao Zedong’ on the first Chinese edition.,,2018-12-15,MG,2020-04-08,DP
:,W0398,Сказание о директоре Прончатове,,ru,P0690,G04,SP0006,1973,Shanghai renmin chubanshe,19XX,yes,,,,,,,2019-05-02,WH,2020-04-08,DP
:,W0398,Pulongqiatuofu jingli de gushi,,zh-Latn-pinyin,P0690,G04,SP0006,1973,Shanghai renmin chubanshe,19XX,yes,,,,,,,2019-05-02,WH,2020-04-08,DP
:,W0398,普隆恰托夫经理的故事,,zh,P0690,G04,SP0006,1973,Shanghai renmin chubanshe,19XX,yes,,,,,,,2018-12-15,MG,2020-04-08,DP
,W0406,Chinese Historical Anthology,,en,P0791,G36,SP0006,1962,Shanghai guji chubanshe,19XX,,,,,,Translated by project member.,,2019-02-23,WH,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0413,第三道,,zh,P0799,G24,SP0005,1982,Renmin chubanshe,19XX,no,,,,,,,2019-03-08,LH,2020-04-08,DP
+++,PS00708,The Little Mermaid,,en,P0744,G08,,,,1917,,,,,,,,2019-03-12,LH,2019-03-12,LH
,W0415,少年英雄巴甫里克,,zh,P0999,G99,SP0436,19XX,,19XX,,,,,,,,2019-06-04,WH,2020-04-08,DP
+++,PS00708,海的女儿,,zh,P0744,G08,,,,1917,,,,,,,,2019-03-12,LH,2019-03-12,LH
,W0415,Shaonian yingxiong Bafulike,,zh-Latn-pinyin,P0999,G99,SP0436,19XX,,19XX,,,,,,,,2019-06-04,WH,2020-04-08,DP
,W0416,Pushkin poetry,,en,P0324,G59,SP0436,19XX,,19XX,,,,,,The title is probably a typo: 普希金诗抄.,,2019-06-06,WH,2020-04-08,DP
+++,PS00709,The Little Match Girl,,en,P0744,G08,,,,1919,,,,,,,,2019-03-12,LH,2019-03-12,LH
,W0416,普希金诗钞,,zh,P0324,G59,SP0436,19XX,,19XX,,,,,,The title is probably a typo: 普希金诗抄.,,2019-06-06,WH,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0417,On Richard Nixon,,en,I0117,G44,SP0006,1972,Shanghai renmin chubanshe,19XX,yes,,,,,,,2019-06-16,WH,2020-04-08,DP
+++,PS00710,The Ugly Duckling,,en,P0744,G08,,,,1925?,,,,,,,,2019-03-12,LH,2019-03-12,LH
,W0417,尼克松其人其事,,zh,I0117,G44,SP0006,1972,Shanghai renmin chubanshe,19XX,yes,,,,,,,2019-06-16,WH,2020-04-08,DP
,W0417,Nikesong qi ren qi shi,,zh-Latn-pinyin,I0117,G44,SP0006,1972,Shanghai renmin chubanshe,19XX,yes,,,,,,,2019-06-16,WH,2020-04-08,DP
+++,PS00710,丑小鸭,,zh-Latn-pinyin,P0744,G08,,,,1925?,,,,,,,,2019-03-12,LH,2019-03-12,LH
+++,PS00800,The Plum in The Golden Vase,,en,P1015,G04,PL0999,1961?,Dayuan shudian,,,,,,,,PLS check again.,2019-09-12,MG,2019-09-12,MG
+++,PS00800,金瓶梅,,zh,P1015,G04,PL0999,1961?,Dayuan shudian,,,,,,,,PLS check again.,2019-08-03,MG,2019-09-12,MG
+++,PS00800,Jin Ping Mei,,zh-Latn-pinyin,P1015,G04,PL0999,1961?,Dayuan shudian,,,,,,,,PLS check again.,2019-08-03,MG,2019-09-12,MG
+++,PS00801,Die Worte der Fünf Weisen,,de,P0999,G99,PL0999,unknown,unknown,,,,,,,,PLS check again. I couldn‘t find the Chinese title.,2019-09-12,MG,2019-09-12,MG
+++,PS00801,Les Paroles des Cinq Vieillards,,fr,P0999,G99,PL0999,unknown,unknown,,,,,,,,PLS check again. I couldn‘t find the Chinese title.,2019-08-03,MG,2019-09-12,MG
+++,PS00802,Don Quixote,,en,P1014,G04,PL0002,1958,Renmin meishu chubanshe,,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00802,Don Quijote de la Mancha,,ep,P1014,G04,PL0002,1958,Renmin meishu chubanshe,,,,,,,,,2019-08-03,MG,2019-08-03,MG
+++,PS00802,堂吉诃德,,zh,P1014,G04,PL0002,1958,Renmin meishu chubanshe,,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00803,Ursule Mirouët,,fr,P0092,G21,PL0002,1956,Renmin wenxue chubanshe,,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00803,于絮尔 弥罗埃,,zh,P0092,G21,PL0002,1956,Renmin wenxue chubanshe,,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00804,Father Goriot,,en,P0092,G21,PL0003,1951,Pingming chuban she,,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00804,Le Père Goriot,,fr,P0092,G21,PL0003,1951,Pingming chuban she,,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00804,高老頭,,zh,P0092,G21,PL0003,1951,Pingming chuban she,,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00805,Lost Illusions,,en,P0092,G21,PL0003,1951,Kaiming shudian,,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00805,Illusions Perdues,,fr,P0092,G21,PL0003,1951,Kaiming shudian,,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00805,幻灭,,zh,P0092,G21,PL0003,1951,Kaiming shudian,,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00806,Cousin Pons,,fr,P0092,G21,PL0003,1952,Pingming chuban she,,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00806,邦斯舅舅,,zh,P0092,G21,PL0003,1952,Pingming chuban she,,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00807,Romeo and Juliet,,en,P0339,G16,PL0003,1949,Yong nian shu ju,,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00807,罗密欧与朱丽叶,,zh,P0339,G16,PL0003,1949,Yong nian shu ju,,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00808,Robinson Crusoe,,en,P1013,G04,PL0003,1951,Zhonghua shuju,,,,,,,,,2019-08-03,MG,2019-08-03,MG
+++,PS00808,鲁滨逊漂流记,,zh,P1013,G04,PL0003,1951,Zhonghua shuju,,,,,,,,,2019-09-12,MG,2019-09-12,MG
