work_id,old_id,type,type_num,language,creator,publication_date,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
W0050,PS00093,PS,93,de,AG0157,NULL,NULL,,,2018-04-25,MG,2020-04-05,DP
W0051,PS00094,PS,94,de,AG0157,NULL,NULL,,,2018-04-25,MG,2020-04-05,DP
W0052,PS00095,PS,95,de,AG0157,NULL,NULL,,,2018-04-25,MG,2020-04-05,DP
W0053,PS00096,PS,96,en,AG0158,NULL,NULL,,,2018-04-25,MG,2020-04-05,DP
W0054,PS00097,PS,97,en,AG0159,NULL,NULL,,,2018-04-25,MG,2020-04-05,DP
W0055,PS00098,PS,98,en,AG0162,NULL,NULL,,,2018-04-25,MG,2020-04-05,DP
W0056,PS00099,PS,99,en,AG0161,NULL,NULL,,,2018-04-25,MG,2020-04-05,DP
W0057,PS00100,PS,100,en,AG0163,NULL,NULL,,,2018-04-25,MG,2020-04-05,DP
W0058,PS00101,PS,101,en,AG0160,NULL,NULL,,,2018-04-25,MG,2020-04-05,DP
W0059,PS00102,PS,102,en,AG0155,NULL,NULL,This is the title Song Yongyi assumes was the original. It could also be Khrushchev Remembers: The last testament.,,2017-10-08,MG,2020-04-05,DP
W0060,PS00105,PS,105,en,AG0152,NULL,NULL,,,2017-10-08,MG,2020-04-05,DP
W0061,PS00106,PS,106,en,AG0138,NULL,NULL,,,2017-10-08,MG,2020-04-05,DP
W0062,PS00107,PS,107,en,AG0138,NULL,NULL,,,2017-10-08,MG,2020-04-05,DP
W0063,PS00121,PS,121,en,AG0164,NULL,NULL,,,2017-12-14,MG,2020-04-05,DP
W0064,PS00122,PS,122,en,AG0165,NULL,NULL,,,2017-12-14,MG,2020-04-05,DP
W0065,PS00125,PS,125,en,AG0166,NULL,NULL,,,2017-12-19,MG,2020-04-05,DP
W0066,PS00126,PS,126,en,AG0626,NULL,NULL,,,2017-12-19,MG,2020-04-05,DP
W0067,PS00164,PS,164,en,AG0001,NULL,NULL,,,2018-01-29,MG,2020-04-05,DP
W0068,PS00168,PS,168,en,AG0204,NULL,NULL,,,2018-02-02,OS,2020-04-05,DP
W0069,PS00180,PS,180,en,AG0441,NULL,NULL,,,2018-01-23,OS,2020-04-05,DP
W0070,PS00181,PS,181,en,AG0441,NULL,NULL,Vol.1-4 1962-1964 and  vol.3-4 1979,,2018-01-23,OS,2020-04-05,DP
W0071,PS00182,PS,182,en,AG0442,NULL,NULL,,,2018-01-24,OS,2020-04-05,DP
W0072,PS00183,PS,183,en,AG0443,NULL,NULL,Translated by project member,,2018-01-24,OS,2020-04-05,DP
W0073,PS00184,PS,184,en,AG0443,NULL,NULL,Translated by project member,,2018-01-24,OS,2020-04-05,DP
W0074,PS00186,PS,186,de,AG0444,NULL,NULL,there were many editions of this work before and after the founding of the PRC,,2018-01-24,OS,2020-04-05,DP
W0075,PS00187,PS,187,de,AG0444,NULL,NULL,,,2018-01-24,OS,2020-04-05,DP
W0076,PS00188,PS,188,en,AG0445,NULL,NULL,,,2018-01-25,OS,2020-04-05,DP
W0077,PS00191,PS,191,en,AG0168,NULL,NULL,,,2018-01-25,OS,2020-04-05,DP
W0078,PS00194,PS,194,en,AG0207,NULL,NULL,,,2018-02-02,OS,2020-04-05,DP
W0079,PS00198,PS,198,en,AG0208,NULL,NULL,,,2018-02-05,OS,2020-04-05,DP
W0080,PS00199,PS,199,en,AG0209,NULL,NULL,,,2018-02-05,OS,2020-04-05,DP
W0081,PS00200,PS,200,en,AG0209,NULL,NULL,,,2018-02-05,OS,2020-04-05,DP
W0082,PS00201,PS,201,en,AG0210,NULL,NULL,It seems that there was no early PRC edition of the Canon.,,2018-02-05,OS,2020-04-05,DP
W0083,PS00202,PS,202,de,AG0211,NULL,NULL,,,2018-02-06,OS,2020-04-05,DP
W0084,PS00203,PS,203,fr,AG0212,NULL,NULL,An early PRC edition could not be found,,2018-02-06,OS,2020-04-05,DP
W0085,PS00206,PS,206,en,AG0023,NULL,NULL,written in 1967. not officially published,,2018-02-09,OS,2020-04-05,DP
W0086,PS00207,PS,207,en,AG0154,NULL,NULL,,,2018-02-11,OS,2020-04-05,DP
W0087,PS00208,PS,208,en,AG0070,NULL,NULL,never officially published?,,2018-02-11,OS,2020-04-05,DP
W0088,PS00209,PS,209,en,AG0216,NULL,NULL,,,2018-02-11,OS,2020-04-05,DP
W0089,PS00210,PS,210,fr,AG0217,NULL,NULL,,,2018-02-11,OS,2020-04-05,DP
W0090,PS00211,PS,211,zh,AG0012,NULL,NULL,circulation started in the early 1970s probably 1972,,2018-02-12,OS,2020-04-05,DP
W0091,PS00212,PS,212,fr,AG0218,NULL,NULL,Not part of the neibu translations. Published in 1897 and forbidden after 1949,,2018-02-12,OS,2020-04-05,DP
W0092,PS00213,PS,213,en,AG0100,NULL,NULL,It exists a neibu edition from 1959 (published in Shanghai wenyi chubanshe). In how far these two editions differ remains unclear.,,2018-02-12,OS,2020-04-05,DP
W0093,PS00215,PS,215,en,AG0219,NULL,NULL,Translator seems to have access to the  original long before publication date of the Chinese translations,,2018-02-13,OS,2020-04-05,DP
W0094,PS00217,PS,217,de,AG0222,NULL,NULL,,,2018-02-13,OS,2020-04-05,DP
W0095,PS00218,PS,218,en,AG0224,NULL,NULL,,,2018-02-13,OS,2020-04-05,DP
W0096,PS00219,PS,219,en,AG0225,NULL,NULL,,,2018-02-13,OS,2020-04-05,DP
W0097,PS00220,PS,220,en,AG0226,NULL,NULL,Based on the first spanish edition of 1968,,2018-02-13,OS,2020-04-05,DP
W0098,PS00221,PS,221,en,AG0227,NULL,NULL,First published 1963 in Colombo,,2018-02-13,OS,2020-04-05,DP
W0099,PS00222,PS,222,en,AG0019,NULL,NULL,The poem was written in 1968,,2018-02-13,OS,2020-04-05,DP
W0100,PS00223,PS,223,en,AG0019,NULL,NULL,Translated by project member. The poem was written in 1968,,2018-02-13,OS,2020-04-05,DP
W0101,PS00224,PS,224,en,AG0019,NULL,NULL,The poem was written in 1968,,2018-02-13,OS,2020-04-05,DP
W0102,PS00225,PS,225,en,AG0019,NULL,NULL,The poems were written between 1965-1968,,2018-02-13,OS,2020-04-05,DP
W0103,PS00226,PS,226,zh,AG0229,NULL,NULL,The poems were written between 1960-1962,,2018-02-13,OS,2020-04-05,DP
W0104,PS00227,PS,227,en,AG0230,NULL,NULL,,,2018-02-14,OS,2020-04-05,DP
W0105,PS00228,PS,228,en,AG0231,NULL,NULL,,,2018-02-14,OS,2020-04-05,DP
W0106,PS00229,PS,229,en,AG0232,NULL,NULL,One of the poems which captured the atmosphere among leaving Zhiqing the best,,2018-02-14,OS,2020-04-05,DP
W0107,PS00230,PS,230,zh,AG0232,NULL,NULL,,,2018-02-14,OS,2020-04-05,DP
W0108,PS00231,PS,231,en,AG0233,NULL,NULL,,,2018-02-14,OS,2020-04-05,DP
W0109,PS00232,PS,232,en,AG0234,NULL,NULL,,,2018-02-14,OS,2020-04-05,DP
W0110,PS00233,PS,233,en,AG0235,NULL,NULL,Chen Danqing claims that this book was popular among Zhiqing. We however could not find an earlier Chinese edition than 1981.,,2018-02-14,OS,2020-04-05,DP
W0111,PS00234,PS,234,en,AG0236,NULL,NULL,,,2018-02-14,OS,2020-04-05,DP
W0112,PS00236,PS,236,en,AG0237,NULL,NULL,,,2018-02-15,OS,2020-04-05,DP
W0113,PS00237,PS,237,en,AG0238,NULL,NULL,Translated from French by Huang Yushi 黄雨石,,2018-02-15,OS,2020-04-05,DP
W0114,PS00239,PS,239,en,AG0240,NULL,NULL,,,2018-02-16,OS,2020-04-05,DP
W0115,PS00241,PS,241,en,AG0204,NULL,NULL,Translated by 张志强 and 陈世民,,2018-02-16,OS,2020-04-05,DP
W0116,PS00242,PS,242,en,AG0241,NULL,NULL,,,2018-02-16,OS,2020-04-05,DP
W0117,PS00243,PS,243,en,AG0243,NULL,NULL,,,2018-02-16,OS,2020-04-05,DP
W0118,PS00244,PS,244,en,AG0244,NULL,NULL,among the first neibu publications from the 1970s,,2018-02-19,OS,2020-04-05,DP
W0119,PS00245,PS,245,ru,AG0244,NULL,NULL,among the first neibu publications from the 1970s,,2018-02-19,OS,2020-04-05,DP
W0120,PS00246,PS,246,en,AG0245,NULL,NULL,,,2018-02-19,OS,2020-04-05,DP
W0121,PS00247,PS,247,en,AG0246,NULL,NULL,Gao Hua mentioned that this book was translated into Chinese in Shanghai in the late 1940s. Worldcat records an early edition with 1946 as the conceivable date of publication. Except for the translator 勤宣 no further details are given though.,,2018-02-19,OS,2020-04-05,DP
W0122,PS00248,PS,248,en,AG0247,NULL,NULL,,,2018-02-19,OS,2020-04-05,DP
W0123,PS00249,PS,249,en,AG0158,NULL,NULL,Original date of publication: 1917,,2018-02-20,OS,2020-04-05,DP
W0124,PS00250,PS,250,en,AG0248,NULL,NULL,,,2018-02-27,OS,2020-04-05,DP
W0125,PS00252,PS,252,en,AG0251,NULL,NULL,,,2018-02-28,OS,2020-04-05,DP
W0126,PS00253,PS,253,en,AG0254,NULL,NULL,First published in a newspaper. Printed as a book in 1979.,,2018-02-28,OS,2020-04-05,DP
W0127,PS00254,PS,254,en,AG0256,NULL,NULL,,,2018-03-06,MG,2020-04-05,DP
W0128,PS00255,PS,255,en,AG0256,NULL,NULL,,,2018-03-06,MG,2020-04-05,DP
W0129,PS00257,PS,257,en,AG0001,NULL,NULL,,,2018-03-09,MG,2020-04-05,DP
W0130,PS00258,PS,258,en,AG0261,NULL,NULL,,,2018-03-09,MG,2020-04-05,DP
W0131,PS00259,PS,259,en,AG0262,NULL,NULL,First translated into English as All Men are Brothers by Pearl S. Buck,,2018-03-12,MG,2020-04-05,DP
W0132,PS00260,PS,260,en,AG0263,NULL,NULL,,,2018-03-12,MG,2020-04-05,DP
W0133,PS00261,PS,261,fr,AG0264,NULL,NULL,,,2018-03-12,MG,2020-04-05,DP
W0134,PS00263,PS,263,en,AG0266,NULL,NULL,,,2018-03-13,MG,2020-04-05,DP
W0135,PS00264,PS,264,en,AG0270,NULL,NULL,a textbook that Wu had from Manchester college days,,2018-03-13,MG,2020-04-05,DP
W0136,PS00266,PS,266,en,AG0274,NULL,NULL,,,2018-03-13,MG,2020-04-05,DP
W0137,PS00267,PS,267,en,AG0273,NULL,NULL,,,2018-03-13,MG,2020-04-05,DP
W0138,PS00268,PS,268,en,AG0272,NULL,NULL,,,2018-03-13,MG,2020-04-05,DP
W0139,PS00269,PS,269,en,AG0266,NULL,NULL,,,2018-03-13,MG,2020-04-05,DP
W0140,PS00270,PS,270,en,AG0271,NULL,NULL,The Story of Doctor Norman Bethune,,2018-03-13,MG,2020-04-05,DP
W0141,PS00271,PS,271,en,AG0275,NULL,NULL,,,2018-03-17,WH,2020-04-05,DP
W0142,PS00272,PS,272,zh,AG0278,NULL,NULL,,,2018-03-28,WH,2020-04-05,DP
W0143,PS00273,PS,273,en,AG0279,NULL,NULL,,,2018-03-28,WH,2020-04-05,DP
W0144,PS00274,PS,274,en,AG0212,NULL,NULL,It was also translated as 续侠隐记.,,2018-04-06,WH,2020-04-05,DP
W0145,PS00275,PS,275,en,AG0212,NULL,NULL,,,2018-04-11,WH,2020-04-05,DP
W0146,PS00276,PS,276,en,AG0280,NULL,NULL,,,2018-04-11,WH,2020-04-05,DP
W0147,PS00290,PS,290,en,AG0232,NULL,NULL,,,2018-03-17,MG,2020-04-05,DP
