table,column,definition,created,created_by,last_modified,last_modified_by,
Institution,inst_name_lang,language code of this institution,,2017-07-04,LH,2017-07-12,OS
Institution,inst_alt_name,alternative name for the institution,CCP instead of Chinese Communist Party,2017-07-04,LH,2017-07-04,LH
Institution,members_id,List Person Ids of members of an institution (only one?? Many??),,2017-07-04,LH,2017-07-04,LH
Institution,source_id,if applicable reference to text ID of source text,,2017-07-04,LH,2017-07-04,LH
Institution,page_number,page number in source text,,2017-07-04,LH,2017-07-04,LH
Institution,created,date of creation of line,,2017-07-04,LH,2017-07-04,LH
Institution,created_by,name of project member creating this line,use acronym,2017-07-04,LH,2017-07-04,LH
Institution,last_modified,date of last modification,,2017-07-04,LH,2017-07-04,LH
Institution,last_modified_by,name of project member last modifying this line,use acronym,2017-07-04,LH,2017-07-04,LH
,,,,2017-07-04,LH,2017-07-04,LH
Place ,place_ID,PL and a five-digit number,with leading zeros if necessary,2017-07-04,LH,2017-07-04,LH
Place ,place_name,"Name of a place in English, e.g. Shanghai, Cologne,  Rome",,2017-07-04,LH,2017-07-12,OS
Place ,long,geo.data,,2017-07-04,LH,2017-07-04,LH
Place ,lat,geo.data,,2017-07-04,LH,2017-07-04,LH
Place ,created,date of creation of line,,2017-07-04,LH,2017-07-04,LH
Place ,created_by,name of project member creating this line,use acronym,2017-07-04,LH,2017-07-04,LH
Place ,last_modified,date of last modification,,2017-07-04,LH,2017-07-04,LH
Place ,last_modified_by,name of project member last modifying this line,use acronym,2017-07-04,LH,2017-07-04,LH
,,,,2017-07-04,LH,2017-07-04,LH
Location,loc_id,L and a four-digit number,with leading zeros if necessary,2017-07-04,LH,2017-07-04,LH
Location,loc_name,Give name of a location - location refers to a type of place: in the market place,Examples on the toilet in the kitchen at school at the seaside on a boat,2017-07-04,LH,2017-07-04,LH
Location,loc_name_lang,language of the term in loc_name,,2017-07-04,LH,2017-07-04,LH
Location,created,date of creation of line,,2017-07-04,LH,2017-07-04,LH
Location,created_by,name of project member creating this line,use acronym,2017-07-04,LH,2017-07-04,LH
Location,last_modified,date of last modification,,2017-07-04,LH,2017-07-04,LH
Location,last_modified_by,name of project member last modifying this line,use acronym,2017-07-04,LH,2017-07-04,LH
,,,,2017-07-04,LH,2017-07-04,LH
ActType,action_ID,AT and a two-digit number,with leading zeros if necessary,2017-07-04,LH,2017-07-12,OS
ActType,action_name,"verb for an action undertaken in the course of a wider act of reading: circulate, steal, buy, copy, print, borrow, read, give as a present, listen in storytelling, discuss; give a book to…",,2017-07-04,LH,2017-07-04,LH
ActType,created,date of creation of line,,2017-07-04,LH,2017-07-04,LH
ActType,created_by,name of project member creating this line,use acronym,2017-07-04,LH,2017-07-04,LH
ActType,last_modified,date of last modification,,2017-07-04,LH,2017-07-04,LH
ActType,last_modified_by,name of project member last modifying this line,use acronym,2017-07-04,LH,2017-07-04,LH
,,,,2017-07-04,LH,2017-07-04,LH
Act,act_ID,A and a five-digit number,with leading zeros if necessary,2017-07-04,LH,2017-07-04,LH
Act,agent,Subject doing something,p.e. person stealing a book use person ID,2017-07-04,LH,2017-07-04,LH
Act,action,add ActType/action_ID,,2017-07-04,LH,2017-07-04,LH
Act,act_object,Object of an action,use text ID,2017-07-25,OS,2017-07-25,OS
Act,act_target,2nd (receiving) person ,use person ID,2017-07-04,LH,2017-07-04,LH
Act,start,Beginning (year) of an action / we cover reading acts between 1966 and 1981,,2017-07-04,LH,2017-07-04,LH
Act,end,"End (year) of an action; if only one year / point in time then use same as start year, p.e. 1968-1968",,2017-07-04,LH,2017-07-04,LH
Act,substantial_discussion,is the activity / text only mentioned briefly (>no) or substantially (>yes),,2017-07-04,LH,2017-07-04,LH
Act,comment,if there is a substantial discussion,add substantial comment / summary or quotation from source,2017-07-04,LH,2017-07-04,LH
Act,source_id,Reference to text in which an activity is reorded, ,2017-07-04,LH,2017-07-04,LH
Act,page_number,Page number in text that the colum source_id refers to,,2017-07-04,LH,2017-07-04,LH
Act,created,date of creation of line,,2017-07-04,LH,2017-07-04,LH
Act,created_by,name of project member creating this line,use acronym,2017-07-04,LH,2017-07-04,LH
Act,last_modified,date of last modification,,2017-07-04,LH,2017-07-04,LH
Act,last_modified_by,name of project member last modifying this line,use acronym,2017-07-04,LH,2017-07-04,LH
