!,...,,+++,...,,,,,,
@@,agent_id,old_id,name_lang,language,commentary,note,created,created_by,last_modified,last_modified_by
,AG0022,P0022,en,en,grandson of Zhang Dongsun 张东荪. Son of Zhang Zongbing 张宗炳. Was sent to a laogai for 15 years. He founded the X literary society and the X shouchao journal.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0022,zh,NULL,grandson of Zhang Dongsun 张东荪. Son of Zhang Zongbing 张宗炳. Was sent to a laogai for 15 years. He founded the X literary society and the X shouchao journal.,pls add the source_2 in the text file,2017-07-05,LH,2018-01-18,OS
,AG0023,P0023,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0023,zh,NULL,,,2017-07-05,LH,2018-02-08,OS
,AG0024,P0024,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0024,zh,NULL,Third source: http://www.baike.com/wiki/%E5%AE%8B%E6%B5%B7%E6%B3%89,,2017-07-05,LH,2018-03-13,WH
,AG0025,P0025,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0025,zh,NULL,,,2017-07-05,LH,2018-01-18,OS
,AG0026,P0026,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0026,zh,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0027,P0027,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0027,zh,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0028,P0028,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0028,zh,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0029,P0029,en,en,he grew up in Beijing. Friend of Zhang Langlang,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0029,zh,NULL,he grew up in Beijing. Friend of Zhang Langlang,,2017-07-05,LH,2018-10-25,DP
,AG0030,P0030,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0030,zh,NULL,,,2017-07-05,LH,2018-10-25,DP
,AG0031,P0031,en,en,川东师范学堂第二十三任校长黄子裳之子 。 Aus Remembrance: [朱]时贤读的东西比较多，在部队中接触过一些内部资料，如《我军不利战战史》，这让他对众多问题的看法发生 了重大变化。,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0031,zh,NULL,川东师范学堂第二十三任校长黄子裳之子 。 Aus Remembrance: [朱]时贤读的东西比较多，在部队中接触过一些内部资料，如《我军不利战战史》，这让他对众多问题的看法发生 了重大变化。,,2017-07-05,LH,2018-01-18,OS
,AG0032,P0032,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0032,zh,NULL,,,2017-07-05,LH,2018-03-13,WH
