!,...,,+++,...,,,,,,
@@,agent_id,old_id,name_lang,language,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,P0179,zh,NULL,,,2017-10-08,MG,2017-12-23,MG
,AG0156,P0180,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0180,zh,NULL,,,2017-10-09,MG,2018-02-06,WH
,AG0157,P0181,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0181,zh,NULL,,,2017-10-24,MG,2017-12-23,MG
,AG0158,P0182,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0182,ru,NULL,,,2017-10-24,MG,2017-12-23,MG
+++,NULL,P0182,zh,NULL,,,2017-10-24,MG,2017-12-23,MG
,AG0159,P0183,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0183,zh,NULL,,,2017-10-25,MG,2017-12-23,MG
,AG0160,P0184,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0184,zh,NULL,,,2017-10-30,MG,2018-10-25,DP
,AG0161,P0185,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0185,zh,NULL,,,2017-10-30,MG,2018-10-25,DP
,AG0162,P0186,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0186,zh,NULL,,,2017-10-30,MG,2018-10-25,DP
,AG0163,P0187,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0187,zh,NULL,,,2017-10-30,MG,2017-12-23,MG
,AG0164,P0188,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0188,zh,NULL,,,2017-12-14,MG,2017-12-23,MG
,AG0165,P0189,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0189,ru,NULL,,,2017-12-14,MG,2017-12-23,MG
+++,NULL,P0189,zh,NULL,,,2017-12-14,MG,2017-12-23,MG
,AG0166,P0190,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0190,ru,NULL,,,2017-12-19,MG,2018-03-13,WH
+++,NULL,P0190,zh,NULL,,,2017-12-19,MG,2018-03-13,WH
,AG0167,P0191,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0191,zh,NULL,,,2017-12-23,OS,2017-12-23,OS
,AG0168,P0192,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0192,zh,NULL,,,2017-12-23,OS,2017-12-23,OS
,AG0169,P0193,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0193,ru,NULL,,,2017-12-23,OS,2017-12-23,OS
+++,NULL,P0194,en,NULL,"1945 and 1946 can be found for his birth year, academic publications rather stick to 1946. Generally speaking, few information is known about his early years.",,2017-12-23,OS,2018-11-13,MG
,AG0170,P0194,zh,en,"1945 and 1946 can be found for his birth year, academic publications rather stick to 1946. Generally speaking, few information is known about his early years.",,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0172,P0196,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0196,zh,NULL,,,2017-12-29,OS,2017-12-29,OS
,AG0173,P0197,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0197,zh,NULL,,,2018-01-04,MG,2018-03-13,WH
,AG0174,P0198,en,en,He was also in prison with Fang Zifen.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0198,zh,NULL,He was also in prison with Fang Zifen.,,2018-01-04,MG,2018-02-02,WH
,AG0175,P0199,en,en,Her father was 戴煌.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0199,zh,NULL,Her father was 戴煌.,,2018-01-04,MG,2018-02-02,WH
,AG0176,P0200,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0200,zh,NULL,,,2018-01-04,MG,2018-01-08,MG
,AG0177,P0201,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0201,zh,NULL,,,2018-01-04,MG,2018-02-06,WH
,AG0178,P0202,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0202,zh,NULL,,,2018-01-04,MG,2018-01-08,MG
,AG0179,P0203,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0203,zh,NULL,,,2018-01-04,MG,2018-11-13,MG
,AG0180,P0204,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0204,zh,NULL,,,2018-01-04,MG,2018-02-07,WH
,AG0181,P0205,en,en,He was a member from anti revolution Lin Biao-Jiang Qing group.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0205,zh,NULL,He was a member from anti revolution Lin Biao-Jiang Qing group.,,2018-01-04,MG,2018-02-06,WH
,AG0182,P0206,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0206,zh,NULL,,,2018-01-04,MG,2018-11-13,MG
,AG0183,P0207,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0207,zh,NULL,,,2018-01-04,MG,2018-11-13,MG
,AG0184,P0208,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0208,zh,NULL,,,2018-01-04,MG,2018-11-13,MG
,AG0185,P0209,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0209,zh,NULL,,,2018-01-04,MG,2018-03-13,WH
,AG0186,P0210,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0210,zh,NULL,,,2018-01-04,MG,2018-10-25,DP
,AG0187,P0211,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0211,zh,NULL,,he spent the time from 1967 to 1985 in prison for crimes which he allegedly commited during the first year of CR,2018-01-03,OS,2018-01-03,OS
,AG0188,P0212,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0212,zh,NULL,,,2018-01-05,MG,2018-02-07,WH
,AG0189,P0213,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0213,zh,NULL,,,2018-01-05,MG,2018-02-07,WH
,AG0190,P0214,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0214,zh,NULL,,,2018-01-05,MG,2018-11-13,MG
,AG0191,P0215,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0215,zh,NULL,,,2018-01-12,MG,2018-02-06,WH
,AG0192,P0216,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0216,zh,NULL,,,2018-01-12,MG,2018-03-13,WH
,AG0193,P0217,en,en,She went in the countryside in 1969-1974 with her parents.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0217,zh,NULL,She went in the countryside in 1969-1974 with her parents.,,2018-01-12,MG,2018-02-06,WH
,AG0194,P0218,en,en,He was 6 years worker after 1971.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0218,zh,NULL,He was 6 years worker after 1971.,,2018-01-12,MG,2018-11-13,MG
,AG0195,P0219,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0219,zh,NULL,,,2018-01-25,OS,2018-01-25,OS
,AG0196,P0220,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0220,zh,NULL,,,2018-01-25,OS,2018-11-13,MG
,AG0197,P0221,en,en,Grew up in Beijing. From 1971-1975 he was rusticated in Wuxiang 武乡 (Shanxi).,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0221,zh,NULL,Grew up in Beijing. From 1971-1975 he was rusticated in Wuxiang 武乡 (Shanxi).,,2018-02-01,OS,2018-02-07,WH
,AG0198,P0222,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0222,zh,NULL,,,2018-02-01,OS,2018-02-01,OS
,AG0199,P0223,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0223,ru,NULL,,,2018-02-01,OS,2018-02-01,OS
+++,NULL,P0223,zh,NULL,,,2018-02-01,OS,2018-02-01,OS
,AG0200,P0224,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0224,ru,NULL,,,2018-02-01,OS,2018-02-01,OS
+++,NULL,P0224,zh,NULL,,,2018-02-01,OS,2018-02-01,OS
,AG0201,P0225,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0225,sr,NULL,,,2018-02-01,OS,2018-02-01,OS
+++,NULL,P0225,zh,NULL,,,2018-02-01,OS,2018-02-01,OS
,AG0202,P0226,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0226,zh,NULL,,,2018-02-01,OS,2018-02-01,OS
,AG0203,P0227,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0227,ru,NULL,,,2018-02-01,OS,2018-02-01,OS
+++,NULL,P0227,zh,NULL,,,2018-02-01,OS,2018-02-01,OS
,AG0204,P0228,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0228,ru,NULL,,,2018-02-01,OS,2018-02-01,OS
+++,NULL,P0228,zh,NULL,,,2018-02-01,OS,2018-02-01,OS
,AG0205,P0229,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0229,zh,NULL,,,2018-02-02,OS,2018-02-02,OS
,AG0206,P0230,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0230,zh,NULL,,,2018-02-02,OS,2018-11-13,MG
,AG0207,P0231,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0231,zh,NULL,,,2018-02-02,OS,2018-02-02,OS
,AG0208,P0232,bg,bg,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0232,en,NULL,,,2018-02-05,OS,2018-02-05,OS
+++,NULL,P0232,zh,NULL,,,2018-02-05,OS,2018-02-05,OS
,AG0209,P0233,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0233,ru,NULL,,,2018-02-05,OS,2018-04-06,MG
+++,NULL,P0233,zh,NULL,,,2018-02-05,OS,2018-04-06,MG
,AG0210,P0234,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0234,zh,NULL,,,2018-02-05,OS,2018-02-05,OS
,AG0211,P0235,de,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0235,en,NULL,,,2018-02-05,OS,2018-02-05,OS
,AG0212,P0236,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0236,zh,NULL,,,2018-02-06,OS,2018-02-06,OS
+++,NULL,P0237,en,NULL,,,2018-02-06,OS,2018-11-13,MG
,AG0213,P0237,zh,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0216,P0240,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0240,zh,NULL,,,2018-02-11,OS,2018-02-11,OS
,AG0217,P0241,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0241,zh,NULL,,,2018-02-11,OS,2018-02-11,OS
,AG0218,P0242,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0242,zh,NULL,,,2018-02-12,OS,2018-02-12,OS
+++,NULL,P0243,en,NULL,,,2018-02-12,OS,2018-02-12,OS
,AG0219,P0243,zh,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0222,P0246,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0246,zh,NULL,,,2018-02-13,OS,2018-02-13,OS
,AG0223,P0247,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0247,zh,NULL,,,2018-02-13,OS,2018-02-13,OS
,AG0224,P0248,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0248,zh,NULL,,,2018-02-13,OS,2018-02-13,OS
,AG0225,P0249,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0249,zh,NULL,,,2018-02-13,OS,2018-02-13,OS
,AG0226,P0250,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0250,zh,NULL,,,2018-02-13,OS,2018-02-13,OS
,AG0227,P0251,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0251,zh,NULL,,,2018-02-13,OS,2018-11-13,MG
,AG0228,P0252,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0252,zh,NULL,,,2018-02-13,OS,2018-02-13,OS
,AG0229,P0253,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0253,zh,NULL,,,2018-02-13,OS,2018-02-13,OS
,AG0230,P0254,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0254,zh,NULL,,,2018-02-14,OS,2018-02-14,OS
,AG0231,P0255,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0255,zh,NULL,,,2018-02-14,OS,2018-02-14,OS
,AG0232,P0256,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0256,zh,NULL,,,2018-02-14,OS,2018-02-14,OS
,AG0233,P0257,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0257,zh,NULL,,,2018-02-14,OS,2018-02-14,OS
,AG0234,P0258,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0258,zh,NULL,,,2018-02-14,OS,2018-02-14,OS
,AG0235,P0259,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0259,zh,NULL,,,2018-02-14,OS,2018-02-14,OS
,AG0236,P0260,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0260,zh,NULL,,,2018-02-14,OS,2018-02-14,OS
,AG0237,P0261,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0261,zh,NULL,,,2018-02-15,OS,2018-02-15,OS
,AG0238,P0262,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0262,zh,NULL,,,2018-02-15,OS,2018-02-15,OS
,AG0239,P0263,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0263,zh,NULL,,,2018-02-19,MG,2018-02-19,MG
,AG0240,P0264,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0264,ru,NULL,,,2018-02-16,OS,2018-02-16,OS
+++,NULL,P0264,zh,NULL,,,2018-02-16,OS,2018-02-16,OS
,AG0241,P0265,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0265,ko,NULL,,,2018-02-16,OS,2018-02-16,OS
+++,NULL,P0265,zh,NULL,,,2018-02-16,OS,2018-02-16,OS
,AG0242,P0266,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0266,zh,NULL,,,2018-02-16,OS,2018-02-16,OS
,AG0243,P0267,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0267,zh,NULL,,,2018-02-16,OS,2019-04-28,WH
,AG0244,P0268,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0268,ru,NULL,,,2018-02-19,OS,2018-02-19,OS
+++,NULL,P0268,zh,NULL,,,2018-02-19,OS,2018-12-18,DP
,AG0245,P0269,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0269,ru,NULL,,,2018-02-19,OS,2018-02-19,OS
+++,NULL,P0269,zh,NULL,,,2018-02-19,OS,2018-02-19,OS
,AG0246,P0270,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0270,ru,NULL,,,2018-02-19,OS,2018-02-19,OS
+++,NULL,P0270,zh,NULL,,,2018-02-19,OS,2018-02-19,OS
,AG0247,P0271,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0271,ru,NULL,,,2018-02-19,OS,2018-02-19,OS
+++,NULL,P0271,zh,NULL,,,2018-02-19,OS,2018-02-19,OS
,AG0248,P0272,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0272,ru,NULL,,,2018-02-27,OS,2018-02-27,OS
+++,NULL,P0272,zh,NULL,,,2018-02-27,OS,2018-02-27,OS
,AG0249,P0273,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0273,zh,NULL,,,2018-02-27,OS,2018-03-13,WH
,AG0250,P0274,en,en,not in a real zhiqing. He was sentenced to 3 years of laogai in 1964 and used to live on the countryside close to Xi'an  from 1967 onwards for a longer time.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0274,zh,NULL,not in a real zhiqing. He was sentenced to 3 years of laogai in 1964 and used to live on the countryside close to Xi'an  from 1967 onwards for a longer time.,,2018-02-27,OS,2018-02-27,OS
,AG0251,P0275,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0275,zh,NULL,,,2018-02-27,OS,2018-10-25,DP
,AG0252,P0276,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0276,zh,NULL,,,2018-02-27,OS,2018-02-27,OS
,AG0253,P0277,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0277,zh,NULL,,,2018-02-27,OS,2018-03-13,WH
,AG0254,P0278,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0278,zh,NULL,,,2018-02-27,OS,2018-02-28,OS
,AG0255,P0279,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0279,zh,NULL,,,2018-02-16,OS,2018-02-16,OS
,AG0256,P0280,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0280,zh,NULL,,,2018-03-06,MG,2018-03-14,MG
,AG0257,P0281,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0281,zh,NULL,,,2018-03-06,MG,2018-03-14,MG
+++,NULL,P0282,en,NULL,,,2018-03-06,MG,2018-11-01,MG
,AG0258,P0282,zh,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0261,P0285,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0285,zh,NULL,,,2018-03-12,MG,2018-03-12,MG
,AG0262,P0286,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0286,zh,NULL,,,2018-03-12,MG,2018-03-14,MG
,AG0263,P0287,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0287,zh,NULL,,,2018-03-12,MG,2018-03-12,MG
+++,NULL,P0288,fr,NULL,,,2018-03-12,MG,2018-03-14,MG
,AG0264,P0288,zh,fr,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0266,P0290,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0290,zh,NULL,,,2018-03-13,MG,2018-03-14,MG
,AG0267,P0291,en,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0270,P0294,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0294,zh,NULL,,,2018-03-13,MG,2018-03-14,MG
,AG0271,P0295,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0295,zh,NULL,,,2018-03-14,MG,2018-03-14,MG
,AG0272,P0296,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0296,zh,NULL,,,2018-03-14,MG,2018-03-14,MG
,AG0273,P0297,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0297,zh,NULL,,,2018-03-14,MG,2018-03-14,MG
,AG0274,P0298,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0298,zh,NULL,,,2018-03-14,MG,2018-03-14,MG
,AG0275,P0299,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0299,zh,NULL,,,2018-03-17,WH,2018-03-17,WH
,AG0276,P0300,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0300,zh,NULL,,,2018-03-17,WH,2018-03-17,WH
,AG0277,P0301,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0301,zh,NULL,,,2018-03-28,WH,2018-03-28,WH
,AG0278,P0302,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0302,zh,NULL,,,2018-03-28,WH,2018-03-28,WH
,AG0279,P0303,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0303,zh,NULL,,,2018-03-28,WH,2018-03-28,WH
,AG0280,P0304,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0304,zh,NULL,,,2018-04-11,WH,2018-04-11,WH
,AG0281,P0305,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0305,zh,NULL,,,2018-04-11,WH,2018-04-11,WH
,AG0282,P0320,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0320,zh,NULL,,,2018-03-17,MG,2018-03-21,MG
,AG0283,P0321,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0321,zh,NULL,,,2018-03-17,MG,2018-03-17,MG
,AG0284,P0322,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0322,zh,NULL,,,2018-03-21,MG,2018-03-21,MG
,AG0285,P0323,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0323,ru,NULL,,,2018-03-21,MG,2018-03-21,MG
+++,NULL,P0323,zh,NULL,,,2018-03-21,MG,2018-03-21,MG
,AG0286,P0324,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0324,ru,NULL,,,2018-03-21,MG,2018-03-21,MG
+++,NULL,P0324,zh,NULL,,,2018-03-21,MG,2018-03-21,MG
,AG0287,P0325,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0325,ru,NULL,,,2018-03-21,MG,2018-03-21,MG
+++,NULL,P0325,zh,NULL,,,2018-03-21,MG,2018-03-21,MG
,AG0288,P0326,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0326,ru,NULL,,,2018-03-23,MG,2018-03-23,MG
+++,NULL,P0326,zh,NULL,,,2018-03-23,MG,2018-03-23,MG
+++,NULL,P0327,en,NULL,,,2018-03-23,MG,2018-03-23,MG
,AG0289,P0327,zh,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0291,P0329,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0329,zh,NULL,,,2018-03-27,MG,2018-03-29,MG
,AG0292,P0330,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0330,zh,NULL,,,2018-03-27,MG,2018-03-29,MG
,AG0293,P0331,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0331,zh,NULL,,,2018-03-27,MG,2018-03-29,MG
,AG0294,P0332,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0332,ru,NULL,,,2018-03-29,MG,2018-03-29,MG
+++,NULL,P0332,zh,NULL,,,2018-03-29,MG,2018-03-29,MG
,AG0295,P0333,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0333,zh,NULL,,,2018-04-03,MG,2018-04-03,MG
,AG0296,P0334,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0334,zh,NULL,,,2018-04-03,MG,2018-04-03,MG
+++,NULL,P0335,en,NULL,,,2018-04-03,MG,2018-04-03,MG
,AG0297,P0335,zh,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0299,P0337,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0337,zh,NULL,,,2018-04-03,MG,2018-04-03,MG
,AG0300,P0338,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0338,zh,NULL,,,2018-04-05,MG,2018-04-05,MG
,AG0301,P0339,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0339,zh,NULL,,,2018-04-06,MG,2018-04-06,MG
,AG0302,P0340,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0340,zh,NULL,,,2018-04-06,MG,2018-04-06,MG
,AG0303,P0341,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0341,zh,NULL,,,2018-04-06,MG,2018-04-06,MG
,AG0304,P0342,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0342,zh,NULL,,,2018-04-06,MG,2018-04-06,MG
,AG0305,P0343,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0343,zh,NULL,,,2018-04-06,MG,2018-04-06,MG
,AG0306,P0344,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0344,zh,NULL,,,2018-04-06,MG,2018-04-06,MG
,AG0307,P0345,en,en,rusticated in the south of Anhui province,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0345,zh,NULL,rusticated in the south of Anhui province,,2018-04-06,MG,2018-11-13,MG
,AG0308,P0346,bn,bn,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0346,en,NULL,,,2018-04-09,MG,2018-04-09,MG
+++,NULL,P0346,zh,NULL,,,2018-04-09,MG,2018-04-09,MG
,AG0309,P0347,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0347,zh,NULL,,,2018-04-09,MG,2018-04-09,MG
,AG0310,P0348,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0348,zh,NULL,,,2018-04-09,MG,2018-04-09,MG
,AG0311,P0349,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0349,ru,NULL,,,2018-05-07,MG,2018-05-07,MG
+++,NULL,P0349,zh,NULL,,,2018-05-07,MG,2018-05-07,MG
,AG0312,P0350,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0350,ru,NULL,,,2018-05-08,MG,2018-05-08,MG
+++,NULL,P0350,zh,NULL,,,2018-05-08,MG,2018-05-08,MG
,AG0313,P0351,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0351,ru,NULL,,,2018-05-08,MG,2018-05-08,MG
+++,NULL,P0351,zh,NULL,,,2018-05-08,MG,2018-05-08,MG
,AG0314,P0352,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0352,zh,NULL,,,2018-05-08,MG,2018-05-08,MG
,AG0315,P0353,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0353,zh,NULL,,,2018-05-08,MG,2018-05-08,MG
,AG0316,P0354,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0354,zh,NULL,,,2018-05-08,MG,2018-05-08,MG
,AG0317,P0355,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0355,zh,NULL,,,2018-05-08,MG,2018-05-14,MG
,AG0318,P0356,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0356,zh,NULL,,,2018-05-14,MG,2018-10-25,DP
,AG0319,P0357,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0357,zh,NULL,,,2018-05-15,MG,2018-05-15,MG
,AG0320,P0358,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0358,zh,NULL,,,2018-05-15,MG,2018-05-15,MG
,AG0321,P0359,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0359,zh,NULL,,,2018-05-15,MG,2018-05-15,MG
,AG0322,P0360,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0360,zh,NULL,,,2018-05-15,MG,2018-05-15,MG
,AG0323,P0361,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0361,zh,NULL,,,2018-05-15,MG,2018-05-15,MG
,AG0324,P0362,en,en,she was rusticated for 2 years and returned to Chengdu afterwards,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0362,zh,NULL,she was rusticated for 2 years and returned to Chengdu afterwards,,2018-05-15,MG,2018-11-13,MG
,AG0325,P0363,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0363,zh,NULL,,,2018-05-17,MG,2018-05-17,MG
,AG0326,P0364,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0364,zh,NULL,,,2018-05-17,MG,2018-05-17,MG
,AG0327,P0365,en,en,,,2020-04-02,DP,2020-04-02,DP
