!,...,,...,,,,,,
@@,agent_id,old_id,language,commentary,note,created,created_by,last_modified,last_modified_by
,AG0032,P0032,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0032,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0033,P0033,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0033,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0034,P0034,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0034,NULL,,,2017-07-05,LH,2018-01-25,WH
,AG0035,P0035,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0035,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0036,P0036,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0036,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0037,P0037,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0037,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0038,P0038,en,He was the group leader of Huang Xiaolong.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0038,NULL,He was the group leader of Huang Xiaolong.,,2017-07-05,LH,2018-02-07,WH
,AG0039,P0039,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0039,NULL,,,2017-07-05,LH,2018-01-03,MG
,AG0040,P0040,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0040,NULL,,,2017-07-05,LH,2019-04-28,WH
,AG0041,P0041,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0041,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0042,P0042,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0042,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0043,P0043,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0043,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0044,P0045,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0045,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0045,P0046,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0046,NULL,,,2017-07-05,LH,2018-01-25,WH
,AG0046,P0047,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0047,NULL,,,2017-07-05,LH,2018-01-25,WH
,AG0047,P0048,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0048,NULL,Third source: http://www.hxzq.org.cn/forum.php?mod=viewthread&tid=28059,,2017-07-05,LH,2018-03-13,WH
,AG0048,P0049,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0049,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0049,P0050,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0050,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0050,P0051,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0051,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0051,P0052,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0052,NULL,,,2017-07-05,LH,2018-01-26,WH
