!,...,,...,,,,,,
@@,agent_id,old_id,language,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,P0386,NULL,,,2018-06-04,MG,2018-06-04,MG
,AG0349,P0387,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0387,NULL,,,2018-06-04,MG,2018-06-04,MG
,AG0350,P0388,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0388,NULL,,,2018-06-05,MG,2018-06-05,MG
,AG0351,P0389,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0389,NULL,,,2018-06-05,MG,2018-06-05,MG
,AG0352,P0390,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0390,NULL,,,2018-06-05,MG,2018-06-05,MG
+++,NULL,P0390,NULL,,,2018-06-05,MG,2018-06-05,MG
,AG0353,P0391,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0391,NULL,,,2018-06-05,MG,2018-06-05,MG
+++,NULL,P0391,NULL,,,2018-06-05,MG,2018-06-05,MG
,AG0354,P0392,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0392,NULL,,,2018-06-06,MG,2018-06-06,MG
+++,NULL,P0392,NULL,,,2018-06-06,MG,2018-06-06,MG
,AG0355,P0393,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0393,NULL,,,2018-06-06,MG,2018-06-06,MG
,AG0356,P0394,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0394,NULL,,,2018-06-11,MG,2018-06-11,MG
,AG0357,P0395,es,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0395,NULL,,,2018-06-11,MG,2018-06-11,MG
+++,NULL,P0396,NULL,,,2018-06-11,MG,2018-06-11,MG
+++,NULL,P0396,NULL,,,2018-06-11,MG,2018-06-11,MG
,AG0358,P0396,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...
,AG0360,P0398,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0398,NULL,,,2018-06-11,MG,2018-06-11,MG
+++,NULL,P0398,NULL,,,2018-06-11,MG,2018-06-11,MG
,AG0361,P0399,it,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0399,NULL,,,2018-06-11,MG,2018-06-11,MG
,AG0362,P0400,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0400,NULL,,,2018-06-12,MG,2018-06-12,MG
,AG0363,P0401,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0401,NULL,,,2018-06-12,MG,2018-06-12,MG
+++,NULL,P0401,NULL,,,2018-06-12,MG,2018-06-12,MG
,AG0364,P0402,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0402,NULL,,,2018-06-12,MG,2018-06-12,MG
+++,NULL,P0402,NULL,,,2018-06-12,MG,2018-06-12,MG
,AG0365,P0403,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0403,NULL,,,2018-06-12,MG,2018-06-12,MG
,AG0366,P0404,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0404,NULL,,,2018-06-12,MG,2018-06-12,MG
,AG0367,P0405,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0405,NULL,,,2018-06-12,MG,2018-06-12,MG
+++,NULL,P0406,NULL,,,2018-06-19,MG,2018-06-19,MG
,AG0368,P0406,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...
,AG0370,P0408,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0408,NULL,,,2018-06-25,MG,2018-06-25,MG
,AG0371,P0409,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0409,NULL,,,2018-06-25,MG,2018-06-25,MG
,AG0372,P0410,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0410,NULL,Third source: https://baike.baidu.com/item/%E6%9D%8E%E4%BF%8A/3035887,,2018-06-25,MG,2018-11-04,WH
,AG0373,P0411,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0411,NULL,,,2018-06-25,MG,2018-06-25,MG
,AG0374,P0412,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0412,NULL,,,2018-06-26,MG,2018-11-13,MG
,AG0375,P0413,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0413,NULL,,,2018-06-28,MG,2018-06-28,MG
,AG0376,P0414,es,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0414,NULL,,,2018-06-28,MG,2018-06-28,MG
,AG0377,P0415,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0415,NULL,,,2018-07-03,MG,2018-07-03,MG
,AG0378,P0416,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0416,NULL,,,2018-07-03,MG,2018-07-03,MG
,AG0379,P0417,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0417,NULL,,,2018-07-03,MG,2018-07-03,MG
,AG0380,P0418,es,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0418,NULL,,,2018-07-04,MG,2018-07-04,MG
,AG0381,P0419,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0419,NULL,,,2018-07-04,MG,2018-07-04,MG
,AG0382,P0420,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0420,NULL,,,2018-07-04,MG,2018-07-04,MG
+++,NULL,P0420,NULL,,,2018-07-04,MG,2018-07-04,MG
,AG0383,P0421,be,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0421,NULL,,,2018-05-31,DM,2018-05-31,DM
+++,NULL,P0421,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0384,P0422,es,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0422,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0385,P0423,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0423,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0386,P0424,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0424,NULL,,,2018-05-31,DM,2018-08-20,DP
,AG0387,P0425,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0425,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0388,P0426,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0426,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0389,P0427,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0427,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0390,P0428,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0428,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0391,P0429,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0429,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0392,P0430,es,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0430,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0393,P0431,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0431,NULL,,,2018-05-31,DM,2020-01-08,MG
,AG0394,P0432,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0432,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0395,P0433,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0433,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0396,P0434,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0434,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0397,P0435,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0435,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0398,P0436,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0436,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0399,P0437,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0437,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0400,P0438,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0438,NULL,,,2018-08-06,DM,2018-08-06,DM
+++,NULL,P0438,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0401,P0439,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0439,NULL,,,2018-08-06,DM,2018-08-06,DM
+++,NULL,P0439,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0402,P0440,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0440,NULL,,,2018-11-15,DM,2018-11-15,DM
,AG0403,P0441,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0441,NULL,,,2018-11-15,DM,2018-11-15,DM
,AG0404,P0442,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0442,NULL,,,2018-11-17,DM,2018-11-17,DM
,AG0405,P0443,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0443,NULL,,,2018-11-17,DM,2018-11-17,DM
,AG0406,P0444,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0444,NULL,,,2018-11-17,DM,2018-11-17,DM
,AG0407,P0445,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0445,NULL,,,2018-11-17,DM,2018-11-17,DM
,AG0408,P0446,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0446,NULL,,,2019-01-07,DM,2019-01-07,DM
,AG0409,P0447,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0447,NULL,,,2019-01-07,DM,2019-01-07,DM
,AG0410,P0448,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0448,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0411,P0449,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0449,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0412,P0450,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0450,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0413,P0451,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0451,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0414,P0452,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0452,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0415,P0453,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0453,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0416,P0454,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0454,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0417,P0455,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0455,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0418,P0521,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0521,NULL,,,2018-04-26,WH,2018-04-26,WH
,AG0419,P0522,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0522,NULL,,,2018-05-03,WH,2018-05-03,WH
+++,NULL,P0522,NULL,,,2018-05-03,WH,2018-05-03,WH
,AG0420,P0523,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0523,NULL,,,2018-05-03,WH,2018-05-03,WH
,AG0421,P0524,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0524,NULL,,,2018-05-03,WH,2018-05-03,WH
,AG0422,P0525,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0525,NULL,,,2018-06-21,WH,2018-06-21,WH
,AG0423,P0526,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0526,NULL,,,2018-06-21,WH,2018-10-25,DP
,AG0424,P0527,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0527,NULL,,,2018-07-09,WH,2018-07-09,WH
,AG0425,P0528,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0528,NULL,,,2018-07-10,WH,2018-07-10,WH
,AG0426,P0529,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0529,NULL,,,2018-07-12,WH,2018-07-12,WH
,AG0427,P0621,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0621,NULL,,,2018-07-17,MG,2018-07-17,MG
,AG0428,P0622,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0622,NULL,,,2018-07-09,MG,2018-07-17,MG
,AG0429,P0623,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0623,NULL,,,2018-07-09,MG,2018-07-17,MG
+++,NULL,P0623,NULL,,,2018-07-09,MG,2018-07-17,MG
,AG0430,P0624,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0624,NULL,,,2018-07-10,MG,2018-11-13,MG
,AG0431,P0625,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0625,NULL,,,2018-07-10,MG,2018-11-13,MG
+++,NULL,P0626,NULL,,,2018-07-13,MG,2018-07-17,MG
,AG0432,P0626,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...
,AG0434,P0628,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0628,NULL,,,2018-07-17,MG,2018-07-17,MG
,AG0435,P0629,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0629,NULL,,,2018-07-20,MG,2018-10-25,DP
,AG0436,P0630,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0630,NULL,,,2018-07-20,MG,2018-07-20,MG
,AG0437,P0631,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0631,NULL,,,2018-07-20,MG,2018-07-20,MG
,AG0438,P0632,pl,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0632,NULL,,,2018-07-20,MG,2018-07-20,MG
,AG0439,P0633,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0633,NULL,,,2018-07-20,MG,2018-07-20,MG
,AG0440,P0634,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0634,NULL,,,2018-07-23,MG,2018-07-23,MG
,AG0441,P0635,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0635,NULL,,,2018-01-23,OS,2018-07-24,MG
+++,NULL,P0635,NULL,,,2018-01-23,OS,2018-07-24,MG
,AG0442,P0636,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0636,NULL,,,2018-01-24,OS,2018-07-24,MG
,AG0443,P0637,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0637,NULL,,,2018-01-24,OS,2018-07-24,MG
,AG0444,P0638,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0638,NULL,,,2018-01-24,OS,2018-07-24,MG
,AG0445,P0639,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0639,NULL,,,2018-01-25,OS,2018-07-24,MG
,AG0446,P0640,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0640,NULL,,,2018-01-26,OS,2018-07-24,MG
,AG0447,P0641,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0641,NULL,,,2018-07-24,MG,2018-07-24,MG
,AG0448,P0642,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0642,NULL,,,2018-08-12,MG,2018-11-01,MG
,AG0449,P0643,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0643,NULL,,,2018-08-16,MG,2018-08-16,MG
,AG0450,P0644,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0644,NULL,,,2018-10-19,MG,2018-10-19,MG
,AG0451,P0645,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0645,NULL,,,2018-10-19,MG,2018-10-19,MG
,AG0452,P0646,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0646,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0453,P0647,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0647,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0454,P0648,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0648,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0455,P0649,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0649,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0456,P0650,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0650,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0457,P0651,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0651,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0458,P0652,es,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0652,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0459,P0653,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0653,NULL,,,2018-11-06,MG,2018-11-06,MG
+++,NULL,P0653,NULL,,,2018-11-06,MG,2018-11-06,MG
,AG0460,P0654,it,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0654,NULL,,,2018-11-06,MG,2018-11-06,MG
,AG0461,P0655,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0655,NULL,,,2018-11-06,MG,2018-11-07,MG
,AG0462,P0656,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0656,NULL,,,2018-11-07,MG,2018-11-07,MG
,AG0463,P0657,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0657,NULL,,,2018-11-09,MG,2018-11-09,MG
,AG0464,P0658,pl,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0658,NULL,,,2018-11-09,MG,2018-11-09,MG
,AG0465,P0659,it,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0659,NULL,,,2018-11-09,MG,2018-11-09,MG
,AG0466,P0660,it,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0660,NULL,,,2018-11-14,MG,2018-11-14,MG
,AG0467,P0661,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0661,NULL,,,2018-11-14,MG,2018-11-14,MG
,AG0468,P0662,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0662,NULL,,,2018-11-18,MG,2018-11-18,MG
,AG0469,P0663,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0663,NULL,,,2018-11-18,MG,2018-11-18,MG
,AG0470,P0664,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0664,NULL,,,2018-11-18,MG,2018-11-19,MG
,AG0471,P0665,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0665,NULL,,,2018-11-19,MG,2018-11-19,MG
,AG0472,P0666,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0666,NULL,,,2018-11-21,MG,2018-11-21,MG
+++,NULL,P0666,NULL,,,2018-11-21,MG,2018-11-21,MG
,AG0473,P0667,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0667,NULL,,,2018-11-21,MG,2018-11-21,MG
+++,NULL,P0667,NULL,,,2018-11-21,MG,2018-11-21,MG
,AG0474,P0668,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0668,NULL,,,2018-11-21,MG,2018-11-21,MG
+++,NULL,P0668,NULL,,,2018-11-21,MG,2018-11-21,MG
,AG0475,P0669,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0669,NULL,,,2018-11-21,MG,2018-11-21,MG
,AG0476,P0670,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0670,NULL,,,2018-11-21,MG,2018-11-21,MG
,AG0477,P0671,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0671,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0478,P0672,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0672,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0479,P0673,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0673,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0480,P0674,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0674,NULL,,,2018-11-27,MG,2018-11-27,MG
+++,NULL,P0674,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0481,P0675,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0675,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0482,P0676,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0676,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0483,P0677,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0677,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0484,P0678,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0678,NULL,,,2018-12-06,MG,2018-12-06,MG
,AG0485,P0679,en,not rusticated but imprisoned for four years during CR,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0679,NULL,not rusticated but imprisoned for four years during CR,,2018-12-06,MG,2018-12-06,MG
,AG0486,P0680,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0680,NULL,,,2018-12-06,MG,2018-12-06,MG
,AG0487,P0681,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0681,NULL,,,2018-12-06,MG,2018-12-06,MG
,AG0488,P0682,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0682,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0489,P0683,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0683,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0490,P0684,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0684,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0491,P0685,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0685,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0492,P0686,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0686,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0493,P0687,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0687,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0494,P0688,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0688,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0495,P0689,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0689,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0496,P0690,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0690,NULL,,,2018-12-15,MG,2018-12-15,MG
+++,NULL,P0690,NULL,,,2018-12-15,MG,2018-12-15,MG
,AG0497,P0691,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0691,NULL,,,2018-12-15,MG,2018-12-15,MG
,AG0498,P0692,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0692,NULL,,,2018-12-17,MG,2018-12-17,MG
,AG0499,P0693,it,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0693,NULL,,,2018-12-17,MG,2018-12-17,MG
,AG0500,P0694,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0694,NULL,,,2018-12-17,MG,2018-12-17,MG
,AG0501,P0695,en,"He was nearly 50 years old around 1979, so he was probably born in 192x..193x.",,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0695,NULL,"He was nearly 50 years old around 1979, so he was probably born in 192x..193x.",,2018-12-17,MG,2019-04-28,WH
,AG0502,P0696,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0696,NULL,,,2018-12-30,MG,2018-12-30,MG
,AG0503,P0697,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0697,NULL,,,2018-12-30,MG,2018-12-30,MG
+++,NULL,P0697,NULL,,,2018-12-30,MG,2018-12-30,MG
,AG0504,P0698,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0698,NULL,,,2018-12-30,MG,2018-12-30,MG
+++,NULL,P0698,NULL,,,2018-12-30,MG,2018-12-30,MG
,AG0505,P0699,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0699,NULL,,,2019-01-02,MG,2019-01-02,MG
,AG0506,P0700,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0700,NULL,,,2018-11-04,WH,2018-11-04,WH
+++,NULL,P0700,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0507,P0701,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0701,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0508,P0702,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0702,NULL,,,2018-11-04,WH,2018-08-20,DP
+++,NULL,P0702,NULL,,,2018-11-04,WH,2018-08-20,DP
,AG0509,P0703,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0703,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0510,P0704,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0704,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0511,P0705,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0705,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0512,P0706,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0706,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0513,P0707,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0707,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0514,P0708,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0708,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0515,P0709,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0709,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0516,P0710,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0710,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0517,P0711,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0711,NULL,,,2018-11-04,WH,2018-11-04,WH
,AG0518,P0712,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0712,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0519,P0713,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0713,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0520,P0714,en,He was sent to PL0511 as worker in 1973.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0714,NULL,He was sent to PL0511 as worker in 1973.,,2018-11-06,WH,2018-11-06,WH
,AG0521,P0715,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0715,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0522,P0716,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0716,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0523,P0717,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0717,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0524,P0718,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0718,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0525,P0719,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0719,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0526,P0720,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0720,NULL,,,2018-11-06,WH,2018-11-06,WH
,AG0527,P0721,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0721,NULL,,,2018-11-07,WH,2018-11-07,WH
+++,NULL,P0721,NULL,,,2018-11-07,WH,2018-11-07,WH
,AG0528,P0722,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0722,NULL,,,2018-11-07,WH,2018-11-07,WH
+++,NULL,P0722,NULL,,,2018-11-07,WH,2018-11-07,WH
,AG0529,P0723,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0723,NULL,,,2018-11-07,WH,2018-11-07,WH
,AG0530,P0724,en,,,2020-04-02,DP,2020-04-02,DP
