!,...,,,...,...,,,,,,,
@@,space_id,old_id,space_name,space_type,name_lang,lat,long,note,created,created_by,last_modified,last_modified_by
+++,NULL,PL0667,Langar,NULL,NULL,52.903069,-0.924820,,2021-06-22,MG,2021-06-22,MG
+++,NULL,PL0668,Columbia,NULL,NULL,34.000710,-81.034813,,2021-06-22,MG,2021-06-22,MG
+++,NULL,PL0669,Petrovichi,NULL,NULL,55.355210,27.441310,,2021-06-23,MG,2021-06-23,MG
+++,NULL,PL0670,Verkhnie Aremzyani,NULL,NULL,58.309220,68.590330,,2021-06-23,MG,2021-06-23,MG
+++,NULL,PL0671,Tengzhou,NULL,NULL,22.686359,109.265228,,2021-06-23,MG,2021-06-23,MG
+++,NULL,PL0672,Landshut,NULL,NULL,48.544193,12.146853,,2021-06-23,MG,2021-06-23,MG
+++,NULL,PL0673,Meßkirch,NULL,NULL,47.993210,9.114220,,2021-06-23,MG,2021-07-02,MG
+++,NULL,PL0674,Yongle,NULL,NULL,34.530450,108.931680,,2021-06-23,MG,2021-07-02,MG
+++,NULL,PL0675,'s-Hertogenbosch,NULL,NULL,51.697815,5.303675,,2021-07-02,MG,2021-07-02,MG
+++,NULL,PL0676,Knoxville,NULL,NULL,35.960636,-83.920738,,2021-07-09,MG,2021-07-09,MG
+++,NULL,PL0677,Yixing,NULL,NULL,24.060390,120.534286,,2021-07-09,MG,2021-07-09,MG
+++,NULL,PL0678,Circle,NULL,NULL,47.416359,-105.588440,,2021-07-09,MG,2021-07-09,MG
+++,NULL,PL0679,Oxford,NULL,NULL,51.752022,-1.257726,,2021-07-09,MG,2021-07-09,MG
+++,NULL,PL0680,Siracusa,NULL,NULL,37.066170,15.284260,,2021-07-10,MG,2021-07-10,MG
+++,NULL,PL0681,Bordeaux,NULL,NULL,44.837788,-0.579180,,2021-07-10,MG,2021-07-10,MG
+++,NULL,PL0682,Basel,NULL,NULL,47.559601,7.588576,,2021-07-10,MG,2021-07-10,MG
+++,NULL,PL0683,Rotterdam,NULL,NULL,51.924419,4.477733,,2021-07-10,MG,2021-07-10,MG
+++,NULL,PL0684,Kyrgyztan,NULL,NULL,42.869961,74.569962,,2021-07-11,MG,2021-07-11,MG
+++,NULL,PL0685,Yongji,NULL,NULL,39.480068,125.515129,,2021-07-11,MG,2021-07-11,MG
+++,NULL,PL0686,Xiangyang,NULL,NULL,32.017342,112.149147,,2021-07-11,MG,2021-07-11,MG
+++,NULL,PL0687,Brody,NULL,NULL,51.024052,21.204910,,2021-07-11,MG,2021-07-11,MG
+++,NULL,PL0688,Kirkcaldy,NULL,NULL,56.112831,-3.160730,,2021-07-14,MG,2021-07-14,MG
+++,NULL,PL0689,Toruń,NULL,NULL,53.015331,18.605700,,2021-07-14,MG,2021-07-14,MG
+++,NULL,PL0690,Pisa,NULL,NULL,43.722839,10.401689,,2021-07-14,MG,2021-07-14,MG
+++,NULL,PL0691,Newington Butts,NULL,NULL,51.491470,-0.102810,,2021-07-14,MG,2021-07-14,MG
+++,NULL,PL0692,Hynčice,NULL,NULL,50.623990,16.287360,,2021-07-19,MG,2021-07-19,MG
+++,NULL,PL0693,Mainz,NULL,NULL,49.992863,8.247253,,2021-07-20,MG,2021-07-20,MG
+++,NULL,PL0694,Kesswill,NULL,NULL,47.593730,9.315990,,2021-07-20,MG,2021-07-20,MG
+++,NULL,PL0695,Takaoka,NULL,NULL,36.754139,137.016693,,2021-07-20,MG,2021-07-20,MG
+++,NULL,PL0696,Himi,NULL,NULL,36.855652,136.984283,,2021-07-20,MG,2021-07-20,MG
+++,NULL,PL0697,Kirriemuir,NULL,NULL,56.674011,-3.004970,,2021-07-21,MG,2021-07-21,MG
+++,NULL,PL0698,Mountain View,NULL,NULL,37.386051,-122.083855,,2021-07-21,MG,2021-07-21,MG
+++,NULL,PL0699,South Yarra,NULL,NULL,-37.840000,144.988998,,2021-07-25,MG,2021-07-25,MG
:,SP0436,PL0999,unknown,PL,en,0.0,0.0,,2018-11-13,MG,2020-04-05,DP
