act_id,act_object,title
A00075,W0086,unknown
A00183,W0087,When Lotuses Bloom Again
A00225,W0087,When Lotuses Bloom Again
A00184,W0088,I Want to Study!
A00185,W0089,"Perspectives de l'homme, Existentialisme, Pensée catholique, Structuralisme, Marxisme"
A00187,W0091,Les Nourritures Terrestres
A00188,W0092,The Decameron
A00190,W0093,The Heart of the Matter
A00194,W0094,Grimms Märchen
A00195,W0095,How the Steel was Tempered
A00715,W0095,How the Steel was Tempered
A00716,W0095,How the Steel was Tempered
A00717,W0095,How the Steel was Tempered
A01025,W0095,How the Steel was Tempered
A01026,W0095,How the Steel was Tempered
A01027,W0095,How the Steel was Tempered
A00196,W0096,Great Changes in a Mountain Village
A00197,W0097,Bolivian Diary
A00198,W0097,Bolivian Diary
A00199,W0098,Krushchevism
A00200,W0098,Krushchevism
A00201,W0098,Krushchevism
A00202,W0099,This is Beijing at 4:08
A00203,W0100,At the Time of Your Departure
A00204,W0101,Believe in the Future
A00205,W0101,Believe in the Future
A00206,W0101,Believe in the Future
A00207,W0102,Ocean Trilogy
A00208,W0102,Ocean Trilogy
A00210,W0104,The Scarlett Letter
A00211,W0104,The Scarlett Letter
A00305,W0104,The Scarlett Letter
A00212,W0105,The Road to Serfdom
A00213,W0105,The Road to Serfdom
A00214,W0105,The Road to Serfdom
A00215,W0105,The Road to Serfdom
A01065,W0105,The Road to Serfdom
A01200,W0105,The Road to Serfdom
A00217,W0106,Windows of the Westward Train
A00218,W0106,Windows of the Westward Train
A00219,W0108,Prophecy
A00220,W0109,The Brief Logic by Hegel
A00221,W0110,Catch-22
A00223,W0112,Les Misérables
A00224,W0112,Les Misérables
A00234,W0114,Fortitude
A00234,W0114,Мужество
A01055,W0115,Conquest Without War
A01062,W0115,Conquest Without War
A00237,W0116,Kim Il-Sung Selected Works
A00238,W0117,Kim Il-Sung Biography
A01056,W0118,What Do You Want Then?
A01057,W0118,What Do You Want Then?
A01056,W0118,Чего же ты хочешь?
A01057,W0118,Чего же ты хочешь?
A01058,W0119,Угол падения: роман
A01059,W0119,Угол падения: роман
A00631,W0120,The Story of Zoya and Shura
A00632,W0120,The Story of Zoya and Shura
A00633,W0120,The Story of Zoya and Shura
A00634,W0120,The Story of Zoya and Shura
A00240,W0121,I Chose Freedom
A00241,W0122,The Forty-First
A00241,W0122,Сорок первый
A00637,W0123,The State and the Revolution
A00638,W0123,The State and the Revolution
A00639,W0123,The State and the Revolution
A00640,W0123,The State and the Revolution
A00637,W0123,Государство и революция
A00638,W0123,Государство и революция
A00639,W0123,Государство и революция
A00640,W0123,Государство и революция
A00242,W0124,Monologue
A00641,W0124,Monologue
A00244,W0125,Commentary on the Water Classic
A00245,W0126,Liu Zhidan
A00246,W0127,Border Town
A00249,W0127,Border Town
A00247,W0128,Long River
A00250,W0128,Long River
A00252,W0129,The True Story of Ah Q
A00254,W0130,Spartacus
A00255,W0131,Water Margin
A00472,W0131,Water Margin
A00473,W0131,Water Margin
A00474,W0131,Water Margin
A00475,W0131,Water Margin
A00476,W0131,Water Margin
A00477,W0131,Water Margin
A00490,W0131,Water Margin
A01365,W0131,Water Margin
A00256,W0132,Utopia
A00257,W0133,La Chartreuse de Parme
A00259,W0134,Journey to the West
A00801,W0134,Journey to the West
A00802,W0134,Journey to the West
A01175,W0134,Journey to the West
A01176,W0134,Journey to the West
A00263,W0135,Art Through the Ages
A00267,W0136,The History of the Decline and Fall of the Roman Empire
A00268,W0137,The Imitation of Christ
A00269,W0138,Romance of the Three Kingdoms
A00708,W0138,Romance of the Three Kingdoms
A00709,W0138,Romance of the Three Kingdoms
A00270,W0139,Story of the Golden Monkey
A00271,W0140,The Scalpel the sword
A00272,W0141,The Sun Shines over the Sanggan River
A00279,W0143,Defend Yan’an
A00285,W0144,Twenty Years After
A00286,W0145,The Three Musketeers
A00287,W0146,The Lady with the Camellias
A00291,W0147,Return to Yan‘an
A00292,W0149,Wuthering Heights
A00304,W0150,La Comédie Humaine
A00307,W0151,Red Star Over China
A00651,W0151,Red Star Over China
A00308,W0152,Ten Days That Shook the World
A00312,W0153,The Rout
A00695,W0153,The Rout
A00314,W0154,In Memory of Norman Bethune
A00326,W0155,The Diary of Anne Frank
A00328,W0155,The Diary of Anne Frank
A00330,W0156,A General Introduction to Psycho-Analysis
A00331,W0156,A General Introduction to Psycho-Analysis
A00515,W0156,A General Introduction to Psycho-Analysis
A00693,W0156,A General Introduction to Psycho-Analysis
