act_id,agent,action,act_object,act_target,start,end,narrative_time,substantial_discussion,source,page,source_status,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
A00396,AG0029,AT01,W0414,,196x..1966,1966,NULL,NULL,W0428,116-117,NULL,NULL,unknown work by: AG0316,,2018-05-08,MG,2020-04-04,DP
A00397,AG0143,AT03,W0414,AG0029,196x..1966,1966,NULL,NULL,W0428,116-117,NULL,NULL,unknown work by: AG0316,,2018-05-08,MG,2020-04-04,DP
A00398,AG0032,AT01,W0169,,1969,1969,NULL,NULL,W0436,ONLINE SOURCE,NULL,NULL,,,2018-05-14,MG,2020-12-17,MG
A00399,AG0032,AT12,W0169,,1969,1969,NULL,NULL,W0436,ONLINE SOURCE,NULL,NULL,,,2018-05-14,MG,2020-12-17,MG
A00400,AG0032,AT03,W0169,AG0031,196x..1969,1969,NULL,NULL,W0436,ONLINE SOURCE,NULL,NULL,,,2018-05-14,MG,2020-12-17,MG
A00401,AG0033,AT01,W0170,,1962~,1962~,NULL,NULL,W0443,ONLINE SOURCE,NULL,NULL,,,2018-05-14,MG,2020-04-04,DP
A00402,AG0034,AT01,W0170,,1962~,1962~,NULL,NULL,W0443,ONLINE SOURCE,NULL,NULL,,,2018-05-14,MG,2020-04-04,DP
A00403,AG0117,AT01,W0171,,1975..1979,1975..1979,NULL,NULL,W0430,454,NULL,NULL,,,2018-05-15,MG,2020-12-17,MG
A00404,AG0118,AT01,W0171,,1979,1979,NULL,NULL,W0476,532,NULL,NULL,,,2018-05-15,MG,2020-04-04,DP
A00405,AG0151,AT03,W0171,AG0118,1979,1979,NULL,NULL,W0476,532,NULL,NULL,,,2018-05-15,MG,2020-04-04,DP
A00406,AG0151,AT10,W0171,,1979,1979,NULL,NULL,W0476,532,NULL,NULL,,,2018-05-15,MG,2020-04-04,DP
A00407,AG0122,AT05,W0554,,1970~,1979~,NULL,NULL,W0485,353,NULL,NULL,unknown work by: AG0320 AF01,,2018-05-15,MG,2020-04-04,DP
A00408,AG0011,AT05,W0554,,1966..1976,1966..1976,NULL,NULL,W0477,56,NULL,NULL,unknown work by: AG0320 AF01,read during rustication?,2018-05-15,MG,2020-12-17,MG
A00409,AG0118,AT11,W0414,,1979,1979,NULL,NULL,W0476,537,NULL,NULL,unknown work by: AG0321 G10,,2018-05-15,MG,2020-04-04,DP
A00410,AG0626,AT17,W0172,,1966..197x,1966..197x,NULL,NULL,W0419,572,NULL,NULL,,,2018-05-15,MG,2020-04-04,DP
A00411,AG0105,AT01,W0078,,1966,1966,NULL,NULL,W0424,158f,NULL,NULL,,,2018-05-15,MG,2020-04-04,DP
A00412,AG0114,AT01,W0078,,1973,1973,NULL,NULL,W0429,56,NULL,NULL,,,2018-05-15,MG,2020-04-04,DP
A00413,AG0324,AT01,W0078,,197x,197x,NULL,NULL,W0516,522,NULL,NULL,,unknown place of rustication,2018-05-15,MG,2020-12-17,MG
A00414,AG0124,AT05,W0173,,196x..197x,196x..197x,NULL,NULL,W0474,7-10,NULL,NULL,,,2018-05-15,MG,2020-04-04,DP
A00415,AG0626,AT19,W0414,,196x..197x,196x..197x,NULL,NULL,W0419,583,NULL,NULL,unknown work by: AG0325,,2018-05-17,MG,2020-04-04,DP
