person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,narrative_age,neibu_access,source_1,page_1,source_2,page_2,fictionality,narrative_status,commentary,note,created,created_by,last_modified,last_modified_by
AG0116,李,大兴,zh,male,2,1960,XXXX,,SP0005,,,,W0475,554,http://book.sina.com.cn/news/xsxx/2017-12-04/doc-ifyphxwa7852332.shtml,ONLINE SOURCE,,,,Third source: http://news.cyol.com/yuanchuang/2017-12/03/content_16742715.htm,2017-07-28,MG,2020-04-02,DP
AG0117,Chen,Jianhua,en,male,2,1947,XXXX,,SP0006,,,,W0430,452,,,,,,,2017-08-07,MG,2020-04-02,DP
AG0117,陈,建华,zh,male,2,1947,XXXX,,SP0006,,,,W0430,452,,,,,,,2018-02-08,OS,2020-04-02,DP
AG0118,Bo,Hua,en,male,1,1956,XXXX,,SP0015,S00,,,W0476,533-539,http://culture.ifeng.com/poet/detail_2012_03/20/13318024_0.shtml,,,,,,2017-08-07,MG,2020-04-02,DP
AG0118,柏,桦,zh,male,1,1956,XXXX,,SP0015,S00,,,W0476,533-539,http://culture.ifeng.com/poet/detail_2012_03/20/13318024_0.shtml,,,,,,2017-08-07,MG,2020-04-02,DP
AG0119,Lin,Mang,en,male,1,1949,XXXX,Zhang Jianzhong,SP0107,S03,,,W0432,291,http://club.kdnet.net/dispbbs.asp?id=2621201&boardid=2&page=6&uid=&usernames=&userids=&action=,ONLINE SOURCE,,,,,2017-08-11,MG,2020-04-02,DP
AG0119,林,莽,zh,male,1,1949,XXXX,张建中,SP0107,S03,,,W0432,291,http://club.kdnet.net/dispbbs.asp?id=2621201&boardid=2&page=6&uid=&usernames=&userids=&action=,ONLINE SOURCE,,,,,2017-08-11,MG,2020-04-02,DP
AG0120,Liao,Yiwu,en,male,0,1958,XXXX,Lao Wei,SP0065,,,,https://de.wikipedia.org/wiki/Liao_Yiwu,ONLINE SOURCE,,,,,,,2017-08-11,MG,2020-04-02,DP
AG0120,廖,亦武,zh,male,0,1958,XXXX,老威,SP0065,,,,https://de.wikipedia.org/wiki/Liao_Yiwu,ONLINE SOURCE,,,,,,,2017-08-11,MG,2020-04-02,DP
AG0121,Bao,Jia,en,male,1,1954,XXXX,,SP0005,,,,W0437,495,,,,,,,2017-08-26,MG,2020-04-02,DP
AG0121,宝,嘉,zh,male,1,1954,XXXX,,SP0005,,,,W0437,495,,,,,,,2017-08-26,MG,2020-04-02,DP
AG0122,Fan,Qian,en,male,2,1940..1960,XXXX,,SP0006,,,,W0485,353,,,,,,,2017-08-31,MG,2020-04-02,DP
AG0122,范,迁,zh,male,2,1940..1960,XXXX,,SP0006,,,,W0485,353,,,,,,,2017-08-31,MG,2020-04-02,DP
AG0123,Bao,Kun,en,male,2,1953,XXXX,,SP0005,S00,,,W0438,196,,,,,,,2017-08-31,MG,2020-04-02,DP
AG0123,鲍,昆,zh,male,2,1953,XXXX,,SP0005,S00,,,W0438,196,,,,,,,2017-08-31,MG,2020-04-02,DP
AG0124,Xiao,Xiao,en,female,3,19XX,XXXX,,SP0436,,,,http://cn.rfi.fr/%E4%B8%AD%E5%9B%BD/20130322-%E5%BB%96%E4%BA%A6%E6%AD%A6%E7%BA%AA%E5%AE%9E%E6%96%87%E5%AD%A6%E6%9C%89%E8%99%9A%E6%9E%84%E6%88%90%E4%BB%BD%EF%BC%9F,ONLINE SOURCE,,,,,,,2017-08-31,MG,2020-04-02,DP
AG0124,萧,萧,zh,female,3,19XX,XXXX,,SP0436,,,,http://cn.rfi.fr/%E4%B8%AD%E5%9B%BD/20130322-%E5%BB%96%E4%BA%A6%E6%AD%A6%E7%BA%AA%E5%AE%9E%E6%96%87%E5%AD%A6%E6%9C%89%E8%99%9A%E6%9E%84%E6%88%90%E4%BB%BD%EF%BC%9F,ONLINE SOURCE,,,,,,,2017-08-31,MG,2020-04-02,DP
AG0125,Chen,Danqing,en,male,1,1953,XXXX,,SP0006,,,,W0479,74,https://baike.baidu.com/item/%E9%99%88%E4%B8%B9%E9%9D%92/59356,ONLINE SOURCE,,,,,2017-08-31,MG,2020-04-02,DP
AG0125,陈,丹青,zh,male,1,1953,XXXX,,SP0006,,,,W0479,74,https://baike.baidu.com/item/%E9%99%88%E4%B8%B9%E9%9D%92/59356,ONLINE SOURCE,,,,,2017-08-31,MG,2020-04-02,DP
AG0126,Deledda,Grazia,en,female,0,1871,1936,,SP0071,,,,https://de.wikipedia.org/wiki/Grazia_Deledda,ONLINE SOURCE,,,,,,,2017-09-06,CW,2020-04-02,DP
