sec_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,note,created,created_by,last_modified,last_modified_by
W0507,Recitative — Mother,,en,G03,SP0436,,,,,http://mjlsh.usc.cuhk.edu.hk/Book.aspx?cid=4&tid=1206,,ONLINE SOURCE,,,2018-02-27,MG,2020-04-08,DP
W0507,宣叙调—妈妈,,zh,G03,SP0436,,,,,http://mjlsh.usc.cuhk.edu.hk/Book.aspx?cid=4&tid=1206,,ONLINE SOURCE,,,2018-02-27,MG,2020-04-08,DP
W0508,That Era Did Not Go Far,,en,G03,SP0436,2011-09-13,Remembrance,,,https://docs.google.com/document/d/1wf58KOyiWvweUUGZAk1bWG3QvmvF10_EM2tPeWGjEp4/edit#bookmark=id.ec963a2ae041,No 75,ONLINE SOURCE,,,2018-02-27,MG,2020-04-08,DP
W0508,那个时代没有远去,,zh,G03,SP0436,2011-09-13,Remembrance,,,https://docs.google.com/document/d/1wf58KOyiWvweUUGZAk1bWG3QvmvF10_EM2tPeWGjEp4/edit#bookmark=id.ec963a2ae041,No 75,ONLINE SOURCE,,,2018-02-27,MG,2020-04-08,DP
W0509,'September 13' In The Memories Of The Provincial Secretary,,en,G03,SP0436,2011-09-15,,,,http://www.aisixiang.com/data/44238.html,,ONLINE SOURCE,,,2018-02-27,MG,2020-04-08,DP
W0509,省委秘书记忆中的’九一三‘,,zh,G03,SP0436,2011-09-15,,,,http://www.aisixiang.com/data/44238.html,,ONLINE SOURCE,,,2018-02-27,MG,2020-04-08,DP
W0510,Interview with Mang Ke,,en,G43,SP0436,2014,,,,W0423,,256-268,,,2018-02-27,MG,2020-04-08,DP
W0510,芒克访谈,,zh,G43,SP0436,2014,,,,W0423,,256-268,,,2018-02-27,MG,2020-04-08,DP
W0511,A Single Tear,A Family‘s Persecution: Love and Endurance in Communist China,en,G02,SP0039,1993,The Atlantic Monthly Press,,,,,,,,2018-03-06,MG,2020-04-08,DP
W0517,Blood red Sunset,A Memoir of the Chinese Cultural Revolution,en,G03,SP0053,1995,Viking Penguin,,,,,,,,2018-05-29,MG,2020-04-08,DP
W0518,When Huai Flowers Bloom,Stories of the Cultural Revolution,en,G02,SP0075,2007,State University of New York Press,,,,,,,,2018-06-19,MG,2020-04-08,DP
W0519,Noices From the Whirlwind,An Oral History of the Culrural Chinese Revolution,en,G02,SP0053,1991,Pantheon Books,,,,,,,,2018-06-25,MG,2020-04-08,DP
W0520,Listening to Enemy Broadcasting Stations,,en,G02,SP0436,,,,,W0431,,147-153,,,2018-06-26,MG,2020-04-08,DP
W0520,听敌台,,zh,G02,SP0436,,,,,W0431,,147-153,,,2018-06-26,MG,2020-04-08,DP
W0520,Ting ditai,,zh-Latn-pinyin,G02,SP0436,,,,,W0431,,147-153,,,2018-06-26,MG,2020-04-08,DP
W0521,The Daily Linguistics in the 1970s,,en,G02,SP0436,,,,,W0431,,319-330,,,2018-07-10,MG,2020-04-08,DP
W0521,七十年代日常语言学,,zh,G02,SP0436,,,,,W0431,,319-330,,,2018-07-10,MG,2020-04-08,DP
W0521,Qishi niandai richang yuyanxue,,zh-Latn-pinyin,G02,SP0436,,,,,W0431,,319-330,,,2018-07-10,MG,2020-04-08,DP
W0522,Ignorance as a Kind of Nourishment,,en,G02,SP0436,,,,,W0431,,13-30,,,2018-07-10,MG,2020-04-08,DP
W0522,愚昧作为一种养料,,zh,G02,SP0436,,,,,W0431,,13-30,,,2018-07-10,MG,2020-04-08,DP
W0522,Yumei zuowei yizhong yangliao,,zh-Latn-pinyin,G02,SP0436,,,,,W0431,,13-30,,,2018-07-10,MG,2020-04-08,DP
W0523,Born American,A Chinese Woman‘s Dream of Liberty,en,G03,SP0087,2009,Nimble Books,,,,,,,,2018-10-16,LH,2020-04-08,DP
W0524,Me Before and After the ‘May Fourth Incident’,,en,G03,SP0436,,,,,W0431,,203-234,,,2018-11-18,MG,2020-04-08,DP
W0524,我在‘五四事件’前后,,zh,G03,SP0436,,,,,W0431,,203-234,,,2018-11-18,MG,2020-04-08,DP
W0525,张平化的9.24报告与抓“黑 鬼”运动,,zh,G03,SP0436,,,,,http://www.xujuneberlein.com/rem53.html#B,,ONLINE SOURCE,,,2018-11-18,MG,2020-04-08,DP
W0526,Start on a Journal,A Rural Child's Memory About the Seventies,en,G03,SP0436,,,,,W0431,,93-103,,,2018-11-06,WH,2020-04-08,DP
W0526,起程,一个农村孩子关于七十年代的记忆,zh,G03,SP0436,,,,,W0431,,93-103,,,2018-11-06,WH,2020-04-08,DP
W0526,Qi cheng,yi ge nongcun haizi guanyu qishi niandai de jiyi,zh-Latn-pinyin,G03,SP0436,,,,,W0431,,93-103,,,2018-11-06,WH,2020-04-08,DP
W0527,Wei Village,,en,G03,SP0436,,,,,W0431,,155-164,,,2018-11-06,WH,2020-04-08,DP
W0527,魏庄,,zh,G03,SP0436,,,,,W0431,,155-164,,,2018-11-06,WH,2020-04-08,DP
W0527,Wei zhuang,,zh-Latn-pinyin,G03,SP0436,,,,,W0431,,155-164,,,2018-11-06,WH,2020-04-08,DP
W0528,Me before and after the  'April Fifth Events',,en,G03,SP0436,,,,,W0431,,203-233,,,2018-11-06,WH,2020-04-08,DP
W0528,我在’四五事件‘前后,,zh,G03,SP0436,,,,,W0431,,203-233,,,2018-11-06,WH,2020-04-08,DP
W0528,Wo zai siwu shijian qianhou,,zh-Latn-pinyin,G03,SP0436,,,,,W0431,,203-233,,,2018-11-06,WH,2020-04-08,DP
W0529,The Most Wanted Man in China,My Journey from Scientist to Enemy of the State,en,G03,SP0053,2016,Henry Holt,,,,,,,,2019-02-19,LH,2020-04-08,DP
SS00262,Open Love Letters,,en,G06,,1980,,,,,,4-67,,,2019-03-12,LH,2019-03-12,LH
SS00262,公开的情书,,zh,G06,,1980,,,,,,4-67,,,2019-03-12,LH,2019-03-12,LH
SS00262,Gongkai de qingshu,,zh-Latn-py,G06,,1980,,,,,,4-67,,,2019-03-12,LH,2019-03-12,LH
SS00263,Balzac And The Little Chinese Seamstress,,en,G04,PL0047,2000,Éditions Gallimard,,,,,,F,,2019-07-30,MG,2019-07-30,MG
SS00263,Balzac et la Petite Tailleuse Chinoise,,fr,G04,PL0047,2000,Éditions Gallimard,,,,,,F,A Chinese version was published after the adaptation,2019-07-30,MG,2019-10-24,MG
SS00263,巴爾扎克與小裁縫,,zh,G04,PL0047,2000,Éditions Gallimard,,,,,,F,,2019-07-30,MG,2019-07-30,MG
SS00264,The Class Teacher,,en,G05,,,,1977,,SS00265,,85-120,F,,2019-10-24,MG,2019-10-24,MG
SS00264,班主任,,zh,G05,,,,1977,,SS00265,,85-120,F,,2019-10-24,MG,2019-10-24,MG
SS00265,Chinese Short Stories of The Twentieth Century,An Anthology in English,en,G28,PL0050,1995,Garland Publishing,,,,,,F,,2019-10-24,MG,2019-10-24,MG
SS00266,People's Literature,,en,G52,PL0002,1977,Renmin wenxue zazhishe,,no,,,,F,,2019-11-25,MG,2019-11-25,MG
SS00266,人民文学,,zh,G52,PL0002,1977,Renmin wenxue zazhishe,,no,,,,F,,2019-11-25,MG,2019-11-25,MG
SS00266,Renmin wenxue,,zh-Latn-pinyin,G52,PL0002,1977,Renmin wenxue zazhishe,,no,,,,F,,2019-11-25,MG,2019-11-25,MG
SS00267,The Class Teacher,,en,G05,,1977,,1977,,SS00266,No 11,,F,,2019-11-25,MG,2019-11-25,MG
SS00267,班主任,,zh,G05,,1977,,1977,,SS00266,No 11,,F,,2019-11-25,MG,2019-11-25,MG
W0512,Vermilion Gate,,en,G03,SP0005,2000,Little: Brown and Company,,,,,,,,2018-03-17,MG,2020-04-08,DP
W0513,Thirty Years in a Red House,A Memoir of Childhood and Youth in Communist China,en,G03,SP0436,1998,University of Massachusetts Press,,,,,,,,2018-03-27,MG,2020-04-08,DP
W0514,Let the Thought Brake the Cage,,en,G03,SP0436,,,,,W0431,,165-186,,,2018-04-09,MG,2020-04-08,DP
W0514,让思想冲破牢笼,,zh,G03,SP0436,,,,,W0431,,165-186,,,2018-04-09,MG,2020-04-08,DP
W0515,My Father and I,,en,G03,SP0436,,,,,http://mjlsh.usc.cuhk.edu.hk/Book.aspx?cid=4&tid=572,,ONLINE SOURCE,,,2018-05-03,WH,2020-04-08,DP
W0515,我和父亲,,zh,G03,SP0436,,,,,http://mjlsh.usc.cuhk.edu.hk/Book.aspx?cid=4&tid=572,,ONLINE SOURCE,,,2018-05-03,WH,2020-04-08,DP
W0516,Youth Cannot Help,,en,G03,SP0436,,,,,W0431,,507-530,,,2018-05-15,MG,2020-04-08,DP
W0516,青春无奈,,zh,G03,SP0436,,,,,W0431,,507-530,,,2018-05-15,MG,2020-04-08,DP
W0516,Qingchun wunai,,zh-Latn-pinyin,G03,SP0436,,,,,W0431,,507-530,,,2018-05-15,MG,2020-04-08,DP
SS00600,Song of Youth,,en,G04,PL0002,1958,Zuojia chubanshe,1958,,,,,,,2019-12-02,MG,2020-02-06,MG
SS00600,青春之歌,,zh,G04,PL0002,1958,Zuojia chubanshe,1958,,,,,,,2019-12-02,MG,2020-02-06,MG
SS00600,Qingchun zhi ge,,zh-Latn-pinyin,G04,PL0002,1958,Zuojia chubanshe,1958,,,,,,,2019-12-02,MG,2020-02-06,MG
SS00601,The Three-Body Problem,,en,G07,PL0036,2016,Head of Zeus Ltd.,2008,,,,,,,2020-02-14,MG,2020-02-14,MG
SS00601,三体,,zh,G07,PL0036,2016,Head of Zeus Ltd.,2008,,,,,,,2020-02-14,MG,2020-02-14,MG
SS00602,The King of Chess,,en,G04,,,,1984,,SS00603,,57-120,F,,2020-05-16,MG,2020-05-19,MG
SS00602,棋王,,zh,G04,,,,1984,,SS00603,,57-120,F,,2020-05-16,MG,2020-05-19,MG
SS00603,The King of Trees,,en,G28,PL0050,2010,New Directions,,,,,,F,,2020-05-16,MG,2020-05-16,MG
SS00604,The King of Children,,en,G04,,,,1985,,SS00603,,121-178,F,,2020-05-26,MG,2020-05-26,MG
SS00604,孩子王,,zh,G04,,,,1985,,SS00603,,121-178,F,,2020-05-26,MG,2020-05-26,MG
SS00605,The King of Trees,,en,G04,,,,,,SS00603,,1-56,F,,2020-06-18,MG,2020-06-18,MG
SS00605,树王,,zh,G04,,,,,,SS00603,,1-56,F,,2020-06-18,MG,2020-06-18,MG
SS00606,Roter Ahorn,,de,G05,,,,1979,,SS00607,,32-50,F,,2020-06-29,MG,2020-06-29,MG
SS00606,Red Maple,,en,G05,,,,1979,,SS00607,,32-50,F,,2020-06-29,MG,2020-06-29,MG
SS00606,枫,,zh,G05,,,,1979,,SS00607,,32-50,F,,2020-06-29,MG,2020-06-29,MG
SS00607,Literatur und Politik in der Volksrepublik China,,de,G28,PL0240,1983,Suhrkamp,,,,,,,,2020-06-29,MG,2020-06-29,MG
SS00608,Der Neuling in der Organisationsabteilung,,de,G05,,,,1957,,SS00609,,82-149,F,,2020-08-07,MG,2020-08-07,MG
SS00608,The Young Newcomer to the Organization Department,,en,G05,,,,1957,,SS00609,,82-149,F,,2020-08-07,MG,2020-08-07,MG
SS00608,组织部来了个年轻人,,zh,G05,,,,1957,,SS00609,,82-149,F,,2020-08-07,MG,2020-08-07,MG
SS00609,Hundert Blumen,Moderne chinesische Erzählungen. Zweiter Band: 1949-1979,de,G28,PL0240,1980,Suhrkamp,,,,,,,,2020-08-07,MG,2020-08-07,MG
SS00610,SF aus China:,Kurzgeschichten,de,G28,PL0639,1984,Wilhelm Goldmann,,,,,,,,2021-02-24,MG,2021-02-24,MG
