person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,neibu_access,wikidata_id,source_1,page_1,source_2,page_2,note,created,created_by,last_modified,last_modified_by
AG0015,Yi,Qun,en,male,3,1947,XXXX,,SP0436,,,,W0441,197,,,,2017-07-05,LH,2020-04-02,DP
AG0015,依,群,zh,male,3,1947,XXXX,,SP0436,,,,W0441,197,,,,2017-07-05,LH,2020-04-02,DP
AG0016,Zhou,Duo,en,male,3,1947,XXXX,,SP0188,,,,W0450,211,worldcat.org,ONLINE SOURCE,Third source: https://minzhuzhongguo.org/MainArtShow.aspx?AID=45123,2017-07-05,LH,2020-04-02,DP
AG0016,周,舵,zh,male,3,1947,XXXX,,SP0188,,,,W0450,211,worldcat.org,ONLINE SOURCE,Third source: https://minzhuzhongguo.org/MainArtShow.aspx?AID=45123,2017-07-05,LH,2020-04-02,DP
AG0017,Ma,Jia,en,male,1,1953,XXXX,Feng Huai,SP0005,,,,W0422,219ff,http://www.chinawriter.com.cn/zxhy/member/9075.shtml,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0017,马,佳,zh,male,1,1953,XXXX,冯淮,SP0005,,,,W0422,219ff,http://www.chinawriter.com.cn/zxhy/member/9075.shtml,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0018,Yan,Li,en,male,2,1954,XXXX,,SP0005,S03,,,W0422,220,http://blog.sina.com.cn/s/blog_77f3ab7f0101aabk.html,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0018,严,力,zh,male,2,1954,XXXX,,SP0005,S03,,,W0422,220,http://blog.sina.com.cn/s/blog_77f3ab7f0101aabk.html,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0019,Guo,Lusheng,en,male,1,1948,XXXX,Shi Zhi,SP0139,S05,,,W0422,229,W0423,74-75,,2017-07-05,LH,2020-04-02,DP
AG0019,郭,路生,zh,male,1,1948,XXXX,食指,SP0139,S05,,,W0422,229,W0423,74-75,,2017-07-05,LH,2020-04-02,DP
AG0020,Gao,Hua,en,male,2,1954,2011,,SP0093,S07,yes,,W0420,132-139,https://zh.wikipedia.org/wiki/%E9%AB%98%E5%8D%8E,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0020,高,华,zh,male,2,1954,2011,,SP0093,S07,yes,,W0420,132-139,https://zh.wikipedia.org/wiki/%E9%AB%98%E5%8D%8E,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0021,Guo,Shiying,en,male,2,1942,1968,,SP0015,S03,yes,,W0423,75f 80,https://baike.baidu.com/item/%E9%83%AD%E4%B8%96%E8%8B%B1/63658,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0021,郭,世英,zh,male,2,1942,1968,,SP0015,S03,yes,,W0423,75f 80,https://baike.baidu.com/item/%E9%83%AD%E4%B8%96%E8%8B%B1/63658,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0022,Zhang,Heci,en,male,2,1943,XXXX,,SP0436,S03,yes,,W0423,75f 80,精神重力與個人詞源 ——中國先鋒詩歌論,122,pls add the source_2 in the text file,2017-07-05,LH,2020-04-02,DP
AG0022,张,鹤慈,zh,male,2,1943,XXXX,,SP0436,S03,yes,,W0423,75f 80,精神重力與個人詞源 ——中國先鋒詩歌論,122,pls add the source_2 in the text file,2017-07-05,LH,2020-04-02,DP
AG0023,Yang,Sanbai,en,female,3,1950~,XXXX,,SP0436,,,,http://gz.eywedu.com/Article_369/20098214270990-12.html,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0023,杨,三白,zh,female,3,1950~,XXXX,,SP0436,,,,http://gz.eywedu.com/Article_369/20098214270990-12.html,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0024,Song,Haiquan,en,male,1,1949,XXXX,,SP0189,,,,W0423,75 79f,http://club.kdnet.net/dispbbs.asp?id=2621201&boardid=2&page=6&uid=&usernames=&userids=&action=,ONLINE SOURCE,Third source: http://www.baike.com/wiki/%E5%AE%8B%E6%B5%B7%E6%B3%89,2017-07-05,LH,2020-04-02,DP
AG0024,宋,海泉,zh,male,1,1949,XXXX,,SP0189,,,,W0423,75 79f,http://club.kdnet.net/dispbbs.asp?id=2621201&boardid=2&page=6&uid=&usernames=&userids=&action=,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0025,Gan,Tiesheng,en,male,1,1946,XXXX,Zifeng,SP0005,S03,,,W0423,75-76  80,http://baogaowenxue.xiusha.com/z/zheyongping/stmq/004.htm,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0025,甘,铁生,zh,male,1,1946,XXXX,紫峰,SP0005,S03,,,W0423,75-76  80,http://baogaowenxue.xiusha.com/z/zheyongping/stmq/004.htm,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0026,Lu,Shuangqin,en,female,1,1953,XXXX,,SP0005,,yes,,W0423,76f,https://www.jintian.net/today/html/28/n-17928.html,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0026,鲁,双芹,zh,female,1,1953,XXXX,,SP0005,,yes,,W0423,76f,https://www.jintian.net/today/html/28/n-17928.html,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0027,Zhang,Xinhua,en,male,3,XXXX,XXXX,,SP0436,,,,W0423,76 80,,,,2017-07-05,LH,2020-04-02,DP
AG0027,张,新华,zh,male,3,XXXX,XXXX,,SP0436,,,,W0423,76 80,,,,2017-07-05,LH,2020-04-02,DP
AG0028,Zhang,Jiuxing,en,male,3,1XXX,"[1972,1973]",,SP0436,,,,W0423,76,,,,2017-07-05,LH,2020-04-02,DP
AG0028,张,久兴,zh,male,3,1XXX,"[1972,1973]",,SP0436,,,,W0423,76,,,,2017-07-05,LH,2020-04-02,DP
AG0029,Wu,Hong,en,male,1,1945,XXXX,,SP0136,,yes,,W0423,78 80,https://www.douban.com/group/topic/33998632/,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0029,巫,鸿,zh,male,1,1945,XXXX,,SP0136,,yes,,W0423,78 80,https://www.douban.com/group/topic/33998632/,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0030,Dong,Shabei,en,male,3,XXXX,XXXX,,SP0436,,yes,,W0423,78,W0439,51,,2017-07-05,LH,2020-04-02,DP
AG0030,董,沙贝,zh,male,3,XXXX,XXXX,,SP0436,,yes,,W0423,78,W0439,51,,2017-07-05,LH,2020-04-02,DP
AG0031,Huang,Guangzu,en,male,2,1946,XXXX,,SP0015,S03,yes,,W0436,ONLINE SOURCE,http://irrc.swu.edu.cn/s/irrc/gw/20160415/902381.html,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0031,黄,光祖,zh,male,2,1946,XXXX,,SP0015,S03,yes,,W0436,ONLINE SOURCE,http://irrc.swu.edu.cn/s/irrc/gw/20160415/902381.html,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0032,Zhu,Shixian,en,male,3,1944,1972,,SP0190,,yes,,W0436,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0032,朱,时贤,zh,male,3,1944,1972,,SP0190,,yes,,W0436,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0033,Zhou,Ziren,en,male,2,1945,XXXX,,SP0007,S06,no,,W0443,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0033,周,孜仁,zh,male,2,1945,XXXX,,SP0007,S06,no,,W0443,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0034,Zhou,Jiren,en,male,2,XXXX,XXXX,Zhou Zhaoming,SP0436,,,,W0443,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0034,周,继仁,zh,male,2,XXXX,XXXX,周照明,SP0436,,,,W0443,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0035,Zhang,Kunquan,en,female,0,1926,19XX?,Shamo,SP0103,,,,W0444,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0035,张,坤权,zh,female,0,1926,19XX?,沙漠,SP0103,,,,W0444,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0036,Huang,Zhongjing,en,male,0,1919,1988,,SP0191,,,,W0445,ONLINE SOURCE,https://baike.baidu.com/item/%E9%BB%84%E4%B8%AD%E6%95%AC/8744306,,,2017-07-05,LH,2020-04-02,DP
AG0036,黄,中敬,zh,male,0,1919,1988,,SP0191,,,,W0445,ONLINE SOURCE,https://baike.baidu.com/item/%E9%BB%84%E4%B8%AD%E6%95%AC/8744306,,,2017-07-05,LH,2020-04-02,DP
AG0037,Huang,Xiaozhen,en,male,1,1947,1996,,SP0015,,,,W0445,ONLINE SOURCE,https://www.douban.com/event/16083771/,,,2017-07-05,LH,2020-04-02,DP
AG0037,黄,小振,zh,male,1,1947,1996,,SP0015,,,,W0445,ONLINE SOURCE,https://www.douban.com/event/16083771/,,,2017-07-05,LH,2020-04-02,DP
AG0038,Wang,Xiulian,en,male,2,XXXX,XXXX,,SP0436,,,,W0426,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0038,王,秀濂,zh,male,2,XXXX,XXXX,,SP0436,,,,W0426,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0039,Dong,Fu,en,male,1,1951,XXXX,Wang Dongyu,SP0007,,,,W0457,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0039,东,夫,zh,male,1,1951,XXXX,王东渝,SP0007,,,,W0457,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0040,Jin,Zhong,en,male,0,1926,2008,Zhang Shijing,SP0072,,,,W0433,ONLINE SOURCE,http://www.chinawriter.com.cn/zxhy/member/1725.shtml,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0040,金,中,zh,male,0,1926,2008,章世箐,SP0072,,,,W0433,ONLINE SOURCE,http://www.chinawriter.com.cn/zxhy/member/1725.shtml,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0041,Zhao,Xiaoling,en,female,1,1947,XXXX,,SP0015,,,,W0446,ONLINE SOURCE,https://book.douban.com/subject/3200202/,,,2017-07-05,LH,2020-04-02,DP
AG0041,赵,晓铃,zh,female,1,1947,XXXX,,SP0015,,,,W0446,ONLINE SOURCE,https://book.douban.com/subject/3200202/,,,2017-07-05,LH,2020-04-02,DP
AG0042,Cao,Ying,en,male,0,1923,2015,Sheng Junfeng,SP0192,,,,W0446,ONLINE SOURCE,https://baike.baidu.com/item/%E8%8D%89%E5%A9%B4,,,2017-07-05,LH,2020-04-02,DP
