soc_rel_id,ego,related,relation,rel_zh,rel_en,source,page,note,created,created_by,last_modified,last_modified_by
SR00069,AG0723,AG0728,S3.1,熟人,acquaintance,W0800,,,2020-05-28,MG,2022-05-09,DP
SR00070,AG0728,AG0725,S3.1,熟人,acquaintance,W0800,,,2020-05-28,MG,2022-05-09,DP
SR00090,AG0731,AG0732,S3.1,熟人,acquaintance,W0801,,,2020-06-18,MG,2022-05-09,DP
SR00091,AG0732,AG0733,S3.1,熟人,acquaintance,W0801,,,2020-06-18,MG,2022-05-09,DP
SR00092,AG0733,AG0734,S4.1.1m,父亲,father,W0801,,,2020-06-18,MG,2022-05-09,DP
SR00093,AG0735,AG0731,S3.1,熟人,acquaintance,W0801,,,2020-06-18,MG,2022-05-09,DP
SR00094,AG0731,AG0733,S3.1,熟人,acquaintance,W0801,,,2020-06-18,MG,2022-05-09,DP
SR00095,AG0739,AG0740,S3.2+,朋友,friend,W0802,,Lovers; yet separated as they became members of different fractions,2020-06-29,MG,2022-05-09,DP
SR00096,AG0741,AG0740,S3.1,熟人,acquaintance,W0802,,former student,2020-06-29,MG,2022-05-09,DP
SR00097,AG0741,AG0739,S3.1,熟人,acquaintance,W0802,,former student,2020-06-29,MG,2022-05-09,DP
