prim_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,note,created,created_by,last_modified,last_modified_by
W0015,Xiaoshi zai andan de ye wu zhong,,zh-Latn-pinyin,G04,SP0005,19XX,,19XX,,,,,nlc.com does not know any 消失在暗淡的夜雾中,2018-04-25,MG,2020-04-08,DP
W0016,Morning Shadow,,en,G04,SP0005,1959,Renmin wenxue chubanshe,1927,,,,,,2017-08-20,MG,2020-04-08,DP
W0016,工人绥惠略夫,,zh,G04,SP0005,1959,Renmin wenxue chubanshe,1927,,,,,,2017-08-20,MG,2020-04-08,DP
W0016,Gongren Suihuilüefu,,zh-Latn-pinyin,G04,SP0005,1959,Renmin wenxue chubanshe,1927,,,,,,2018-04-25,MG,2020-04-08,DP
W0017,Gambara,,fr,G21,SP0006,1953,Xinwenyi chubanshe,19XX,,,,,,2017-08-25,MG,2020-04-08,DP
W0017,钢巴拉,,zh,G21,SP0006,1953,Xinwenyi chubanshe,19XX,,,,,,2017-08-25,MG,2020-04-08,DP
W0017,Gang ba la,,zh-Latn-pinyin,G21,SP0006,1953,Xinwenyi chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0018,Eugénie Grandet,,fr,G04,SP0005,1954,Renmin wenxue chubanshe,19XX,,,,,,2017-08-25,MG,2020-04-08,DP
W0018,欧也妮·葛朗台,,zh,G04,SP0005,1954,Renmin wenxue chubanshe,19XX,,,,,,2017-08-25,MG,2020-04-08,DP
W0018,Ouyeni gelangtai,,zh-Latn-pinyin,G04,SP0005,1954,Renmin wenxue chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0019,New Vietnamese Chinese Newspaper,,en,G22,SP0067,19XX,,19XX,no,,,,,2017-08-26,MG,2020-04-08,DP
W0019,新越华报,,zh,G22,SP0067,19XX,,19XX,no,,,,,2017-08-26,MG,2020-04-08,DP
W0019,Xin yuehua bao,,zh-Latn-pinyin,G22,SP0067,19XX,,19XX,no,,,,,2018-04-25,MG,2020-04-08,DP
W0020,Light Above the Land,,en,G04,SP0006,1972,Shanghai renmin chubanshe,19XX,yes,,,,,2017-08-26,MG,2020-04-08,DP
W0020,人世间,,zh,G04,SP0006,1972,Shanghai renmin chubanshe,19XX,yes,,,,,2017-08-26,MG,2020-04-08,DP
W0020,Renshi jian,,zh-Latn-pinyin,G04,SP0006,1972,Shanghai renmin chubanshe,19XX,yes,,,,,2018-04-25,MG,2020-04-08,DP
W0021,Watching the Barley Harvest,,en,G10,SP0436,19XX,,19XX,,,,,,2017-08-26,MG,2020-04-08,DP
W0021,观刈麦,,zh,G10,SP0436,19XX,,19XX,,,,,,2017-08-26,MG,2020-04-08,DP
W0021,Guan yi mai,,zh-Latn-pinyin,G10,SP0436,19XX,,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0022,Reeds in the Wind,,en,G04,SP0006,1992,Shanghai yiwen chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0022,Canne al Vento,,it,G04,SP0006,1992,Shanghai yiwen chubanshe,19XX,,,,,,2017-09-06,CW,2020-04-08,DP
W0022,风中芦苇,,zh,G04,SP0006,1992,Shanghai yiwen chubanshe,19XX,,,,,,2017-09-06,CW,2020-04-08,DP
W0022,Feng zhong luwei,,zh-Latn-pinyin,G04,SP0006,1992,Shanghai yiwen chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0023,En Attendant Godot,,fr,G17,SP0005,1965,Zhongguo xiju chubanshe,19XX,yes,,,,,2017-08-31,MG,2020-04-08,DP
W0023,等待戈多,,zh,G17,SP0005,1965,Zhongguo xiju chubanshe,19XX,yes,,,,,2017-08-31,MG,2020-04-08,DP
W0023,Dengdai Geduo,,zh-Latn-pinyin,G17,SP0005,1965,Zhongguo xiju chubanshe,19XX,yes,,,,,2018-04-25,MG,2020-04-08,DP
W0024,Waves,,en,G21,SP0020,1987,Zhongwen Daxue chubanshe,19XX,,,,,,2017-09-06,MG,2020-04-08,DP
W0024,波动,,zh,G21,SP0020,1987,Zhongwen Daxue chubanshe,19XX,,,,,,2017-09-06,MG,2020-04-08,DP
W0024,Bodong,,zh-Latn-pinyin,G21,SP0020,1987,Zhongwen Daxue chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0025,The Answer,,en,G10,SP0005,1978,,19XX,,,,,,2017-09-06,MG,2020-04-08,DP
W0025,回答,,zh,G10,SP0005,1978,,19XX,,,,,,2017-09-06,MG,2020-04-08,DP
W0025,Huida,,zh-Latn-pinyin,G10,SP0005,1978,,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0026,The Window on the Cliffs,,en,G10,SP0436,1982,,19XX,,,,,,2017-09-06,MG,2020-04-08,DP
W0026,峭壁上的窗户,,zh,G10,SP0436,1982,,19XX,,,,,,2017-09-06,MG,2020-04-08,DP
W0026,Qiaobi shang de chuanghu,,zh-Latn-pinyin,G10,SP0436,1982,,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0027,Smoke,,en,G10,SP0436,19XX,,19XX,,W0432,,291,,2017-09-08,MG,2020-04-08,DP
W0027,烟,,zh,G10,SP0436,19XX,,19XX,,W0432,,291,,2017-09-08,MG,2020-04-08,DP
W0027,Yan,,zh-Latn-pinyin,G10,SP0436,19XX,,19XX,,W0432,,291,,2018-04-25,MG,2020-04-08,DP
W0028,Alcohol,,en,G10,SP0436,19XX,,19XX,,W0432,,291,,2017-09-08,MG,2020-04-08,DP
W0028,酒,,zh,G10,SP0436,19XX,,19XX,,W0432,,291,,2017-09-08,MG,2020-04-08,DP
W0028,Jiu,,zh-Latn-pinyin,G10,SP0436,19XX,,19XX,,W0432,,291,,2018-04-25,MG,2020-04-08,DP
W0029,Rainy Night,,en,G10,SP0073,1986,Xinshiji chubanshe,19XX,,,,537,,2017-09-08,MG,2020-04-08,DP
W0029,雨夜,,zh,G10,SP0073,1986,Xinshiji chubanshe,19XX,,,,537,,2017-09-08,MG,2020-04-08,DP
W0029,Yuye,,zh-Latn-pinyin,G10,SP0073,1986,Xinshiji chubanshe,19XX,,,,537,,2018-04-25,MG,2020-04-08,DP
W0030,Dusk: Dingjiatan,,en,G10,SP0073,1986,Xinshiji chubanshe,19XX,,,,537,,2017-09-08,MG,2020-04-08,DP
W0030,黄昏·丁家滩,,zh,G10,SP0073,1986,Xinshiji chubanshe,19XX,,,,537,,2017-09-08,MG,2020-04-08,DP
W0030,Huanghun: Dingjiatan,,zh-Latn-pinyin,G10,SP0073,1986,Xinshiji chubanshe,19XX,,,,537,,2018-04-25,MG,2020-04-08,DP
W0031,Habit,,en,G10,SP0073,1986,Xinshiji chubanshe,19XX,,,,537,,2017-09-08,MG,2020-04-08,DP
W0031,习惯,,zh,G10,SP0073,1986,Xinshiji chubanshe,19XX,,,,537,,2017-09-08,MG,2020-04-08,DP
W0031,Xiguan,,zh-Latn-pinyin,G10,SP0073,1986,Xinshiji chubanshe,19XX,,,,537,,2018-04-25,MG,2020-04-08,DP
W0032,The Ninth Wave,,en,G06,SP0436,1970,,19XX,yes,,,,,2017-09-15,MG,2020-04-08,DP
W0032,九级浪,,zh,G06,SP0436,1970,,19XX,yes,,,,,2017-09-15,MG,2020-04-08,DP
W0032,Jiu ji lang,,zh-Latn-pinyin,G06,SP0436,1970,,19XX,yes,,,,,2018-04-25,MG,2020-04-08,DP
W0033,Dedicated to the Aegean Sea,,en,G10,SP0436,19XX,,19XX,,,,534,,2017-09-15,MG,2020-04-08,DP
W0033,献给爱琴海,,zh,G10,SP0436,19XX,,19XX,,,,534,,2017-09-15,MG,2020-04-08,DP
W0033,Xian gei Aiqinhai,,zh-Latn-pinyin,G10,SP0436,19XX,,19XX,,,,534,,2018-04-25,MG,2020-04-08,DP
W0034,For a Sick boy,,en,G10,SP0436,19XX,,19XX,,,,536,,2017-09-15,MG,2020-04-08,DP
W0034,给一个有病的小男孩,,zh,G10,SP0436,19XX,,19XX,,,,536,,2017-09-15,MG,2020-04-08,DP
W0034,Gei yi ge you bing de xiao nanhai,,zh-Latn-pinyin,G10,SP0436,19XX,,19XX,,,,536,,2018-04-25,MG,2020-04-08,DP
W0035,Room at the Top,,en,G04,SP0005,1962,Zuojia chubanshe,19XX,yes,,,,,2017-09-15,MG,2020-04-08,DP
W0035,往上爬,,zh,G04,SP0005,1962,Zuojia chubanshe,19XX,yes,,,,,2017-09-15,MG,2020-04-08,DP
W0035,Wang shang pa,,zh-Latn-pinyin,G04,SP0005,1962,Zuojia chubanshe,19XX,yes,,,,,2018-04-25,MG,2020-04-08,DP
W0036,Jane Eyre,An Autobiography,en,G04,SP0006,1949,Wenhua shenghuo chubanshe,19XX,no,,,,,2017-09-22,MG,2020-04-08,DP
W0036,简爱,自传,zh,G04,SP0006,1949,Wenhua shenghuo chubanshe,19XX,no,,,,,2017-09-22,MG,2020-04-08,DP
W0036,Jian ai,Zizhuan,zh-Latn-pinyin,G04,SP0006,1949,Wenhua shenghuo chubanshe,19XX,no,,,,,2018-04-25,MG,2020-04-08,DP
W0037,L‘Étranger,,fr,G04,SP0006,1961,Shanghai wenyi chubanshe,19XX,yes,,,,,2017-09-22,MG,2020-04-08,DP
W0037,局外人,,zh,G04,SP0006,1961,Shanghai wenyi chubanshe,19XX,yes,,,,,2017-09-22,MG,2020-04-08,DP
W0037,Juwairen,,zh-Latn-pinyin,G04,SP0006,1961,Shanghai wenyi chubanshe,19XX,yes,,,,,2018-04-25,MG,2020-04-08,DP
W0038,Dream of the Red Chamber,,en,G04,SP0006,1949,Kaiming shudian,19XX,,,,,,2017-09-22,MG,2020-04-08,DP
W0038,红楼梦,,zh,G04,SP0006,1949,Kaiming shudian,19XX,,,,,,2017-09-22,MG,2020-04-08,DP
W0038,Hongloumeng,,zh-Latn-pinyin,G04,SP0006,1949,Kaiming shudian,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0039,守常文集,,zh,G01,SP0005,1949,Beixin shuju faxingzhe,19XX,,,,,,2017-09-24,CW,2020-04-08,DP
W0039,Shouchang wenji,,zh-Latn-pinyin,G01,SP0005,1949,Beixin shuju faxingzhe,19XX,,,,,,2017-09-24,CW,2020-04-08,DP
W0040,My Autobiography,,en,G03,SP0092,1977,Zhiyi chubanshe,19XX,,,,,,2017-09-27,MG,2020-04-08,DP
W0040,卓别林自传,,zh,G03,SP0092,1977,Zhiyi chubanshe,19XX,,,,,,2017-09-27,MG,2020-04-08,DP
W0040,Zhuobielin zizhuan,,zh-Latn-pinyin,G03,SP0092,1977,Zhiyi chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0041,The House with the Mezzanine,,en,G05,SP0436,19XX,,19XX,,,,,,2017-09-27,MG,2020-04-08,DP
W0041,带阁楼的房子,,zh,G05,SP0436,19XX,,19XX,,,,,,2017-09-27,MG,2020-04-08,DP
W0041,Dai gelou de fangzi,,zh-Latn-pinyin,G05,SP0436,19XX,,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0042,For Mr. Yan Wenliang,,en,G10,SP0436,19XX,,19XX,no,,,,,2017-09-29,MG,2020-04-08,DP
W0042,为颜文梁先生作,,zh,G10,SP0436,19XX,,19XX,no,,,,,2017-09-29,MG,2020-04-08,DP
W0042,Wei Yan Wenliang xiangsheng zuo,,zh-Latn-pinyin,G10,SP0436,19XX,,19XX,no,,,,,2018-04-25,MG,2020-04-08,DP
