inst_ID,inst_name,inst_name_lang,place_id,start,end,alt_start,alt_end,inst_alt_name,commentary,note,source_id,page_number,created,created_by,last_modified,last_modified_by
I0103,中国作家协会,zh,PL0002,1949,,1949,1953,中华全国文学工作者协会,,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E4%BD%9C%E5%AE%B6%E5%8D%8F%E4%BC%9A,,2018-11-04,WH,2018-11-04,WH
I0104,Hunan Federation of Literary and Art Circles,en,PL0051,1950,,,1950,Changsha Federation of Literary and Art Circles,,,https://baike.baidu.com/item/%E6%B9%96%E5%8D%97%E7%9C%81%E6%96%87%E5%AD%A6%E8%89%BA%E6%9C%AF%E7%95%8C%E8%81%94%E5%90%88%E4%BC%9A/2046912,,2018-11-04,WH,2018-11-04,WH
I0104,湖南省文学艺术界联合会,zh,PL0051,1950,,,1950,长沙市文学艺术界联合会,,,https://baike.baidu.com/item/%E6%B9%96%E5%8D%97%E7%9C%81%E6%96%87%E5%AD%A6%E8%89%BA%E6%9C%AF%E7%95%8C%E8%81%94%E5%90%88%E4%BC%9A/2046912,,2018-11-04,WH,2018-11-04,WH
I0105,Jiangxi Jiujiang Cultural Work Group,en,PL0253,,,,,,,,SS00044,,2018-11-06,WH,2018-11-06,WH
I0105,江西九江文工团,zh,PL0253,,,,,,,,SS00044,,2018-11-06,WH,2018-11-06,WH
I0106,Shanghai Youth Art Theatre,en,PL0003,,,,,,,,https://zh.wikipedia.org/wiki/%E6%9D%9C%E9%B9%83%E5%B1%B1,,2018-11-06,WH,2018-11-06,WH
I0106,上海青年艺术剧院,zh,PL0003,,,,,,,,https://zh.wikipedia.org/wiki/%E6%9D%9C%E9%B9%83%E5%B1%B1,,2018-11-06,WH,2018-11-06,WH
I0107,Beijing Peking Opera Troupe,en,PL0002,1955,,,,,,,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E4%BA%AC%E5%89%A7%E5%9B%A2,,2018-11-06,WH,2018-11-06,WH
I0107,北京京剧团,zh,PL0002,1955,,,,,,,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E4%BA%AC%E5%89%A7%E5%9B%A2,,2018-11-06,WH,2018-11-06,WH
I0108,China Central Ballet Company,en,PL0002,1959,,,,,,,https://baike.baidu.com/item/%E4%B8%AD%E5%A4%AE%E8%8A%AD%E8%95%BE%E8%88%9E%E5%9B%A2#2_1,,2018-11-06,WH,2018-11-06,WH
I0108,中央芭蕾舞团,zh,PL0002,1959,,,,,,,https://baike.baidu.com/item/%E4%B8%AD%E5%A4%AE%E8%8A%AD%E8%95%BE%E8%88%9E%E5%9B%A2#2_1,,2018-11-06,WH,2018-11-06,WH
I0109,Hunan Opera and Dance Theatre,en,PL0051,1953,,,,,,,https://baike.baidu.com/item/%E6%B9%96%E5%8D%97%E7%9C%81%E6%AD%8C%E8%88%9E%E5%89%A7%E9%99%A2,,2018-11-06,WH,2018-11-06,WH
I0109,湖南省歌舞剧院,zh,PL0051,1953,,,,,,,https://baike.baidu.com/item/%E6%B9%96%E5%8D%97%E7%9C%81%E6%AD%8C%E8%88%9E%E5%89%A7%E9%99%A2,,2018-11-06,WH,2018-11-06,WH
I0110,Lu Xun Academy of Fine Arts,en,PL0021,1938,,,,,,,https://zh.wikipedia.org/wiki/%E9%AD%AF%E8%BF%85%E8%97%9D%E8%A1%93%E5%AD%B8%E9%99%A2,,2018-11-06,WH,2018-11-06,WH
I0110,鲁迅艺术学院,zh,PL0021,1938,,,,,,,https://zh.wikipedia.org/wiki/%E9%AD%AF%E8%BF%85%E8%97%9D%E8%A1%93%E5%AD%B8%E9%99%A2,,2018-11-06,WH,2018-11-06,WH
I0111,Shanghai Ballet Company,en,PL0003,1966,,,,,,,https://en.wikipedia.org/wiki/Shanghai_Ballet_Company,,2018-11-06,WH,2018-11-06,WH
I0111,上海芭蕾舞团,zh,PL0003,1966,,,,,,,https://en.wikipedia.org/wiki/Shanghai_Ballet_Company,,2018-11-06,WH,2018-11-06,WH
I0112,Chinese Academy of Social Sciences,en,PL0002,1977,,,,,,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E7%A4%BE%E4%BC%9A%E7%A7%91%E5%AD%A6%E9%99%A2,,2018-11-06,WH,2018-11-06,WH
I0112,中国社会科学院,zh,PL0002,1977,,,,,,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E7%A4%BE%E4%BC%9A%E7%A7%91%E5%AD%A6%E9%99%A2,,2018-11-06,WH,2018-11-06,WH
I0113,The Commercial Press,en,PL0003,1897,,,,,,,https://zh.wikipedia.org/wiki/%E5%95%86%E5%8A%A1%E5%8D%B0%E4%B9%A6%E9%A6%86,,2018-11-15,WH,2018-11-15,WH
I0113,商务印书馆,zh,PL0003,1897,,,,,,,https://zh.wikipedia.org/wiki/%E5%95%86%E5%8A%A1%E5%8D%B0%E4%B9%A6%E9%A6%86,,2018-11-15,WH,2018-11-15,WH
