place_id,place_name,lat,long,note,created,created_by,last_modified,last_modified_by
PL0076,Hebei,37.895659,114.904221,,2017-09-24,CW,2017-09-24,CW
PL0077,Luoyang,23.16244,114.27342,,2017-09-26,MG,2017-09-26,MG
PL0078,Taganrog,47.23617,38.89688,,2017-09-27,MG,2017-09-27,MG
PL0079,Saratow,51.592365,45.960804,,2017-09-29,MG,2017-09-29,MG
PL0080,Shaoshan,27.905996376,112.474664768,,2017-10-03,MG,2017-10-03,MG
PL0081,Huangbei,29.758889,118.534167,,2017-10-03,MG,2017-10-03,MG
PL0082,Suzhou,31.30408,120.59538,,2017-10-03,MG,2017-10-03,MG
PL0083,Portsmouth,50.819767,-1.087977,,2017-10-08,MG,2019-02-11,MG
PL0084,Abingdon,51.67109,-1.28278,,2017-10-09,MG,2017-10-09,MG
PL0085,Shrewsbury,52.71009,-2.75208,,2017-10-09,MG,2017-10-09,MG
PL0086,Fondi,41.35285,13.43227,,2017-10-09,MG,2017-10-09,MG
PL0087,Essex,51.765907,0.667367,,2017-10-09,MG,2017-10-09,MG
PL0088,Belgrade,44.80401,20.46513,,2017-10-09,MG,2017-10-09,MG
PL0089,Taipei,25.105497,121.597366,,2017-10-16,MG,2017-10-16,MG
PL0090,Nanjing,32.06167,118.77778,,2017-10-24,MG,2017-10-24,MG
PL0091,Hankou,30.541831166,114.32583203,,2017-10-24,MG,2017-10-24,MG
PL0092,Zhengzhou,34.75778,113.64861,,2017-10-24,MG,2017-10-24,MG
PL0093,Changchun,43.892362,125.34072,,2017-10-24,MG,2017-10-24,MG
PL0094,Ulyanovsk,54.32824,48.38657,,2017-10-24,MG,2017-10-24,MG
PL0095,Trier,49.75565,6.63935,,2017-10-24,MG,2017-10-24,MG
PL0096,Hangzhou,29.9978,119.7722,,2017-10-30,MG,2017-10-30,MG
PL0097,Zhumadian,32.97944,114.02944,,2017-10-30,MG,2017-10-30,MG
PL0098,Qufu,35.59667,116.99111,,2017-10-30,MG,2017-10-30,MG
PL0099,Shangcai,33.397216,114.476947,,2017-10-30,MG,2017-10-30,MG
PL0100,Jiangsu,33.140172,119.788925,,2017-11-19,CW,2017-11-19,CW
PL0101,Düsseldorf,51.227741,6.773456,,2017-12-13,MG,2017-12-13,MG
PL0102,New Brunswick,40.486216,-74.451819,,2017-12-17,MG,2017-12-17,MG
PL0103,Changzhou,31.811226,119.974061,,2017-12-23,OS,2017-12-23,OS
PL0104,Xushui,39.018736,115.655774,,2017-12-19,MG,2017-12-19,MG
PL0105,Longkou,37.646108,120.477813,,2017-12-23,MG,2017-12-23,MG
PL0106,Gori,41.985414,44.108411,,2017-12-23,OS,2017-12-23,OS
PL0107,Yegoryevsk,55.385141,39.032322,,2017-12-23,OS,2017-12-23,OS
PL0108,Yizhen,34.203246,108.945896,,2017-12-29,OS,2017-12-29,OS
PL0109,Stanford,37.427475,-122.169719,,2017-12-29,OS,2017-12-29,OS
PL0110,Hunan,27.6253,111.856859,,2018-01-04,MG,2018-01-04,MG
PL0111,Inner Mongolia,43.37822,115.059481,,2018-01-04,MG,2018-01-04,MG
PL0112,Guizhou,26.842965,107.290284,,2018-01-04,MG,2018-01-04,MG
PL0113,Yichang,30.691966,111.286471,,2018-01-03,OS,2018-01-03,OS
PL0114,Berkeley,37.871899,-122.25854,,2018-01-10,MG,2018-01-10,MG
PL0115,Xixian,32.342792,114.740456,,2018-01-10,MG,2018-01-10,MG
PL0116,Yizheng,32.272258,119.184766,,2018-01-16,MG,2018-01-16,MG
PL0118,Tieling,42.223828,123.726035,,2018-02-06,OS,2018-02-06,OS
PL0119,Villers-Cotterêts,49.255061,3.090816,,2018-02-06,OS,2018-02-06,OS
PL0120,Brussels,50.850346,4.351721,,2018-02-06,OS,2018-02-06,OS
PL0121,Edinburgh,55.953252,-3.188267,,2018-02-05,OS,2018-02-05,OS
PL0122,Kovachevtsi,42.559002,22.817838,,2018-02-05,OS,2018-02-05,OS
PL0123,Cork,51.896892,-8.486316,,2018-02-03,OS,2018-02-03,OS
PL0124,Kalinovka,51.893853,34.509259,,2018-02-01,OS,2018-02-01,OS
PL0125,Kislowodsk,43.905601,42.728095,,2018-02-01,OS,2018-02-01,OS
PL0126,Budapest,47.497912,19.040235,,2018-02-01,OS,2018-02-01,OS
PL0127,Kumrovec,46.076437,15.680309,,2018-02-01,OS,2018-02-01,OS
PL0128,Bereslavka,47.89197,32.293262,,2018-02-01,OS,2018-02-01,OS
PL0129,Xingtai,37.070834,114.504677,,2018-02-01,OS,2018-02-01,OS
PL0130,Linhe,40.751187,107.363918,,2018-02-01,OS,2018-02-01,OS
PL0131,Shanghexi,39.4065,112.9054,,2018-02-06,OS,2018-02-06,OS
PL0132,Liverpool,53.408371,-2.991573,,2018-01-30,OS,2018-01-30,OS
PL0133,Zhangjiakou,40.767544,114.886335,,2018-01-09,OS,2018-01-09,OS
