person_id,family_name,first_name,name_lang,sex,rustication,rustication_start,rustication_end,place_of_rust,birthyear,deathyear,alt_name,alt_name_lang,place_of_birth,social_position,neibu_access,source_id_1,page_number_1,source_id_2,page_number_2,commentary,note,created,created_by,last_modified,last_modified_by
P0015,Yi,Qun,en,male,unknown,NULL,NULL,NULL,1947,,,,,,,SS00114,197,,,,,2017-07-05,LH,2018-02-07,WH
P0015,依,群,zh,male,unknown,NULL,NULL,NULL,1947,,,,,,,SS00114,197,,,,,2017-07-05,LH,2018-02-07,WH
P0016,Zhou,Duo,en,male,unknown,NULL,NULL,NULL,1947,,,,PL0186,,,SS00127,211,worldcat.org,ONLINE SOURCE,,Third source: https://minzhuzhongguo.org/MainArtShow.aspx?AID=45123,2017-07-05,LH,2018-03-13,WH
P0016,周,舵,zh,male,unknown,NULL,NULL,NULL,1947,,,,PL0186,,,SS00127,211,worldcat.org,ONLINE SOURCE,,Third source: https://minzhuzhongguo.org/MainArtShow.aspx?AID=45123,2017-07-05,LH,2018-03-13,WH
P0017,Ma,Jia,en,male,yes,1969,1975,PL0008,1953,,Feng Huai,en,PL0002,,,SS00009,219ff,http://www.chinawriter.com.cn/zxhy/member/9075.shtml,ONLINE SOURCE,,,2017-07-05,LH,2018-01-18,OS
P0017,马,佳,zh,male,yes,1969,1975,PL0008,1953,,冯淮,zh,PL0002,,,SS00009,219ff,http://www.chinawriter.com.cn/zxhy/member/9075.shtml,ONLINE SOURCE,,,2017-07-05,LH,2018-01-18,OS
P0018,Yan,Li,en,male,no,NULL,NULL,NULL,1954,,,,PL0002,S03,,SS00009,220,http://blog.sina.com.cn/s/blog_77f3ab7f0101aabk.html,ONLINE SOURCE,爷爷是上海名中医，叫严苍山,,2017-07-05,LH,2018-01-18,OS
P0018,严,力,zh,male,no,NULL,NULL,NULL,1954,,,,PL0002,S03,,SS00009,220,http://blog.sina.com.cn/s/blog_77f3ab7f0101aabk.html,ONLINE SOURCE,爷爷是上海名中医，叫严苍山,,2017-07-05,LH,2018-01-18,OS
P0019,Guo,Lusheng,en,male,yes,1969,1971,PL0138,1948,,Shi Zhi,en,PL0137,S05,,SS00009,229,SS00011,74-75,author of the books Xiangxin weilai 相信未來 and Zhe shi sidian bafen Beijing 《這是四點零八分的北京》written in 1968. Very influential among zhiqing.,,2017-07-05,LH,2018-02-13,OS
P0019,郭,路生,zh,male,yes,1969,1971,PL0138,1948,,食指,zh,PL0137,S05,,SS00009,229,SS00011,74-75,author of the books Xiangxin weilai 相信未來 and Zhe shi sidian bafen Beijing 《這是四點零八分的北京》both written in 1968. Very influential among zhiqing.,,2017-07-05,LH,2018-02-13,OS
P0020,Gao,Hua,en,male,no,NULL,NULL,NULL,1954,2011,,,PL0090,S07,yes,SS00006,132-139,https://zh.wikipedia.org/wiki/%E9%AB%98%E5%8D%8E,ONLINE SOURCE,,,2017-07-05,LH,2018-10-25,DP
P0020,高,华,zh,male,no,NULL,NULL,NULL,1954,2011,,,PL0090,S07,yes,SS00006,132-139,https://zh.wikipedia.org/wiki/%E9%AB%98%E5%8D%8E,ONLINE SOURCE,,,2017-07-05,LH,2018-10-25,DP
P0021,Guo,Shiying,en,male,no,NULL,NULL,NULL,1942,1968,,,PL0012,S03,yes,SS00011,75f 80,https://baike.baidu.com/item/%E9%83%AD%E4%B8%96%E8%8B%B1/63658,ONLINE SOURCE,son of Guo Moruo and Yu Liqun,,2017-07-05,LH,2018-01-18,OS
P0021,郭,世英,zh,male,no,NULL,NULL,NULL,1942,1968,,,PL0012,S03,yes,SS00011,75f 80,https://baike.baidu.com/item/%E9%83%AD%E4%B8%96%E8%8B%B1/63658,ONLINE SOURCE,son of Guo Moruo and Yu Liqun,,2017-07-05,LH,2018-01-18,OS
P0022,Zhang,Heci,en,male,no,NULL,NULL,NULL,1943,,,,,S03,yes,SS00011,75f 80,精神重力與個人詞源 ——中國先鋒詩歌論,122,grandson of Zhang Dongsun 张东荪. Son of Zhang Zongbing 张宗炳. Was sent to a laogai for 15 years. He founded the X literary society and the X shouchao journal.,pls add the source_2 in the text file,2017-07-05,LH,2018-01-18,OS
