!,,,,,,:,+++,,,,,,
@@,work_id,old_id,type,type_num,language,creator,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,SS00617,NULL,NULL,de,P1102,F,transl. Christa Höger,,2021-02-24,MG,2021-02-24,MG
+++,NULL,SS00618,NULL,NULL,de,P1101,F,transl. Bettina Proksch,,2021-02-24,MG,2021-02-24,MG
+++,NULL,SS00619,NULL,NULL,en,P1096,F,originally published in 科幻小说报,,2021-02-24,MG,2021-07-27,MG
+++,NULL,SS00620,NULL,NULL,en,P1147,,and P1148,,2021-02-24,MG,2021-04-06,MG
+++,NULL,SS00621,NULL,NULL,en,P1097,F,originally published in 人民文学,,2021-02-24,MG,2021-07-10,MG
+++,NULL,SS00621,NULL,NULL,zh,P1097,F,originally published in 人民文学,,2021-02-24,MG,2021-07-10,MG
+++,NULL,SS00622,NULL,NULL,en,P1096,,,,2021-02-25,MG,2021-03-03,MG
+++,NULL,SS00622,NULL,NULL,zh,P1096,,,,2021-02-25,MG,2021-02-25,MG
+++,NULL,SS00623,NULL,NULL,en,P1097,F,originally published in 科学文艺,,2021-02-27,MG,2021-02-27,MG
+++,NULL,SS00624,NULL,NULL,en,P1103,F,originally published in 上海文学,,2021-02-27,MG,2021-07-09,MG
+++,NULL,SS00624,NULL,NULL,en,P1103,F,originally published in 上海文学,,2021-07-09,MG,2021-07-09,MG
+++,NULL,SS00625,NULL,NULL,en,P1104,F,originally published in 科学文艺,,2021-02-27,MG,2021-02-27,MG
+++,NULL,SS00626,NULL,NULL,en,P1145,,and P1146,,2021-02-27,MG,2021-04-06,MG
+++,NULL,SS00627,NULL,NULL,en,P1105,F,,,2021-02-27,MG,2021-07-10,MG
+++,NULL,SS00628,NULL,NULL,en,P1057,F,,,2021-02-27,MG,2021-06-21,MG
+++,NULL,SS00629,NULL,NULL,en,P1057,F,,,2021-02-27,MG,2021-02-27,MG
+++,NULL,SS00630,NULL,NULL,en,P1106,F,,,2021-02-27,MG,2021-07-14,MG
+++,NULL,SS00631,NULL,NULL,en,P1107,F,,,2021-02-27,MG,2021-07-14,MG
+++,NULL,SS00632,NULL,NULL,en,P1107,F,,,2021-02-27,MG,2021-07-19,MG
+++,NULL,SS00633,NULL,NULL,en,P1114,,,,2021-02-27,MG,2021-04-06,MG
+++,NULL,SS00634,NULL,NULL,en,P1107,F,,,2021-02-27,MG,2021-06-21,MG
+++,NULL,SS00635,NULL,NULL,en,P1107,F,,,2021-02-27,MG,2021-02-27,MG
+++,NULL,SS00636,NULL,NULL,en,P1108,F,,,2021-02-27,MG,2021-06-14,MG
+++,NULL,SS00637,NULL,NULL,en,P1108,F,,,2021-02-27,MG,2021-02-27,MG
+++,NULL,SS00638,NULL,NULL,en,P1109,F,,,2021-02-27,MG,2021-07-19,MG
+++,NULL,SS00639,NULL,NULL,en,P1110,F,,,2021-02-27,MG,2021-06-15,MG
+++,NULL,SS00640,NULL,NULL,en,P1111,F,,,2021-02-27,MG,2021-02-27,MG
+++,NULL,SS00641,NULL,NULL,en,P1106,F,,,2021-02-27,MG,2021-06-14,MG
+++,NULL,SS00642,NULL,NULL,en,P1105,F,,,2021-02-27,MG,2021-02-27,MG
+++,NULL,SS00643,NULL,NULL,en,P1114,,,,2021-02-27,MG,2021-03-03,MG
+++,NULL,SS00644,NULL,NULL,en,P1105,F,,,2021-02-27,MG,2021-06-14,MG
+++,NULL,SS00645,NULL,NULL,en,P1112,F,,,2021-02-27,MG,2021-06-14,MG
+++,NULL,SS00646,NULL,NULL,en,P1107,F,,,2021-03-03,MG,2021-07-19,MG
+++,NULL,SS00647,NULL,NULL,en,P1113,F,,,2021-03-03,MG,2021-06-07,MG
+++,NULL,SS00648,NULL,NULL,en,P1115,F,,,2021-03-03,MG,2021-06-05,MG
+++,NULL,SS00649,NULL,NULL,en,P1108,F,,,2021-03-03,MG,2021-03-03,MG
+++,NULL,SS00650,NULL,NULL,en,P1116,F,,no Chinese publication,2021-03-03,MG,2021-03-03,MG
+++,NULL,SS00651,NULL,NULL,en,P1107,F,,,2021-03-03,MG,2021-05-05,MG
+++,NULL,SS00652,NULL,NULL,en,P1117,F,,,2021-03-03,MG,2021-03-03,MG
+++,NULL,SS00652,NULL,NULL,zh,P1117,F,,,2021-03-03,MG,2021-03-03,MG
+++,NULL,SS00653,NULL,NULL,en,P1096,,,,2021-03-03,MG,2021-03-03,MG
+++,NULL,SS00653,NULL,NULL,zh,P1096,,,,2021-03-03,MG,2021-03-03,MG
+++,NULL,SS00654,NULL,NULL,en,P1103,F,,,2021-03-03,MG,2021-03-03,MG
+++,NULL,SS00654,NULL,NULL,zh,P1103,F,,,2021-03-03,MG,2021-03-03,MG
+++,NULL,SS00655,NULL,NULL,en,P1096,F,,,2021-03-03,MG,2021-04-15,MG
+++,NULL,SS00656,NULL,NULL,en,P1103,,,,2021-03-03,MG,2021-03-03,MG
+++,NULL,SS00656,NULL,NULL,zh,P1103,,,,2021-03-03,MG,2021-03-03,MG
+++,NULL,SS00657,NULL,NULL,en,P1103,F,,,2021-03-03,MG,2021-03-23,MG
+++,NULL,SS00657,NULL,NULL,zh,P1103,F,,,2021-03-03,MG,2021-03-03,MG
+++,NULL,SS00658,NULL,NULL,en,P1107,F,,,2021-03-03,MG,2021-03-18,MG
+++,NULL,SS00658,NULL,NULL,zh,P1107,F,,,2021-03-03,MG,2021-03-18,MG
+++,NULL,SS00659,NULL,NULL,en,P1143,,and P1144,,2021-03-03,MG,2021-04-06,MG
+++,NULL,SS00660,NULL,NULL,en,P1116,F,,,2021-03-03,MG,2021-03-15,MG
